idx,leader_before,leader_after,fp_node,live,time_to_leader_s,fp_delivered,advice_seen_on
1,4,2,4,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
2,2,4,2,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
3,4,5,4,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
4,5,4,5,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
5,4,2,4,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
6,2,4,2,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
7,4,1,4,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
8,1,5,1,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
9,5,4,1,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
10,4,1,1,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
