concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6111,15,0,2.45,396.7,389,457,457,457
2,4678,15,15,3.21,303.5,305,337,337,337
4,4729,30,30,6.34,303.0,300,428,431,431
8,3225,60,60,18.60,188.8,169,338,386,386
16,4536,120,120,26.46,268.6,252,416,428,436
