3,1,1780836522298,1780836522592,294,FAIL
3,2,1780836522599,1780836522734,135,FAIL
3,3,1780836522750,1780836522898,148,FAIL
3,4,1780836522905,1780836523041,136,FAIL
3,5,1780836523047,1780836523185,138,FAIL
3,6,1780836523200,1780836523333,133,FAIL
3,7,1780836523338,1780836523471,133,FAIL
3,8,1780836523482,1780836523608,126,FAIL
3,9,1780836523628,1780836523750,122,FAIL
3,10,1780836523757,1780836524037,280,FAIL
3,11,1780836524050,1780836524345,295,FAIL
3,12,1780836524352,1780836524647,295,FAIL
3,13,1780836524653,1780836524908,255,FAIL
3,14,1780836524914,1780836525196,282,FAIL
3,15,1780836525201,1780836525538,337,FAIL
3,16,1780836525546,1780836525677,131,FAIL
3,17,1780836525683,1780836525961,278,FAIL
3,18,1780836525977,1780836526244,267,FAIL
3,19,1780836526261,1780836526551,290,FAIL
3,20,1780836526563,1780836526845,282,FAIL
3,21,1780836526874,1780836527256,382,FAIL
3,22,1780836527270,1780836527534,264,FAIL
3,23,1780836527543,1780836527795,252,FAIL
3,24,1780836527817,1780836528099,282,FAIL
3,25,1780836528113,1780836528398,285,FAIL
3,26,1780836528408,1780836528703,295,FAIL
3,27,1780836528713,1780836529049,336,FAIL
3,28,1780836529054,1780836529211,157,FAIL
3,29,1780836529223,1780836529357,134,FAIL
3,30,1780836529365,1780836529496,131,FAIL
