concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6213,15,0,2.41,402.5,400,446,446,446
2,4950,15,15,3.03,321.3,312,376,376,376
4,5226,30,30,5.74,334.0,337,402,403,403
8,5907,60,60,10.16,368.5,364,432,438,438
16,4720,120,120,25.42,266.6,259,372,435,452
