10,1,1781071823730,1781071824120,390,OK
10,2,1781071824152,1781071824540,388,OK
10,3,1781071824551,1781071824953,402,OK
10,4,1781071824999,1781071825438,439,OK
10,5,1781071825453,1781071825860,407,OK
10,6,1781071825871,1781071826312,441,OK
10,7,1781071826347,1781071826724,377,OK
10,8,1781071826734,1781071826992,258,OK
10,9,1781071827019,1781071827270,251,OK
10,10,1781071827294,1781071827509,215,OK
10,11,1781071827530,1781071827776,246,OK
10,12,1781071827803,1781071828035,232,OK
10,13,1781071828046,1781071828316,270,OK
10,14,1781071828341,1781071828633,292,OK
10,15,1781071828649,1781071828877,228,OK
