1786892930.732,17.93,0.41,0.39,0.34,0.36,0.36,0.36
1786892931.053,0.52,0.30,0.30,0.28,0.29,0.28,0.50
1786892931.356,0.54,0.32,0.24,0.27,0.64,0.36,0.45
1786892931.665,0.57,0.30,0.28,0.26,0.22,0.28,0.30
1786892931.968,0.59,0.38,0.25,0.28,0.24,0.22,0.23
1786892932.271,0.55,0.37,0.57,0.42,0.28,0.29,0.35
1786892932.573,0.59,0.33,0.26,0.25,0.29,0.25,0.26
1786892932.876,0.58,0.32,0.32,0.29,0.31,0.28,0.26
1786892933.179,0.63,0.35,0.30,0.30,0.26,0.25,0.27
1786892933.481,0.66,0.50,0.44,0.39,0.46,0.41,0.39
1786892933.785,0.64,0.36,0.34,0.36,0.33,0.43,0.55
1786892934.089,0.60,0.35,0.36,0.35,0.33,0.32,0.33
1786892934.392,0.83,0.70,0.51,0.49,0.43,0.39,0.49
1786892934.696,0.74,0.31,0.30,0.32,0.25,0.28,0.24
1786892934.999,0.51,0.32,0.33,0.29,0.30,0.28,0.27
1786892935.306,0.67,0.38,0.29,0.28,0.30,0.31,0.30
1786892935.609,0.61,0.35,0.30,0.27,0.28,0.33,0.31
1786892935.912,0.48,0.33,0.28,0.24,0.28,0.23,0.24
1786892936.214,0.54,0.33,0.39,0.32,0.30,0.27,0.26
1786892936.517,0.54,0.36,200.58,0.48,0.33,0.32,0.26
1786892937.021,0.57,0.31,207.01,0.63,0.39,0.29,0.26
1786892937.532,0.60,0.36,209.54,0.51,0.34,0.35,0.33
1786892938.044,0.48,0.36,198.85,0.48,0.32,0.26,0.26
1786892938.546,0.57,0.30,209.44,0.52,0.39,0.34,0.34
1786892939.058,0.58,0.74,206.50,0.46,0.35,0.30,0.28
1786892939.568,0.57,0.33,210.34,0.53,0.32,0.26,0.29
1786892940.081,0.60,0.30,199.72,0.52,0.33,0.29,0.29
1786892940.584,0.64,0.33,196.57,0.50,0.35,0.35,0.26
1786892941.083,0.53,0.32,191.82,0.66,0.41,0.44,0.34
1786892941.578,0.53,2.09,204.36,0.54,0.35,0.35,0.42
1786892942.087,0.56,0.48,198.82,0.46,0.32,0.30,0.29
1786892942.589,0.66,0.30,193.88,0.48,0.35,0.32,0.32
1786892943.086,0.56,0.38,197.16,0.44,0.38,0.32,0.25
1786892943.586,0.54,0.35,191.87,0.52,0.35,0.28,0.34
1786892944.081,0.50,0.27,204.96,0.46,0.32,0.30,0.35
1786892944.589,0.55,0.41,191.39,0.57,0.39,0.31,0.49
1786892945.083,0.59,0.38,192.65,0.56,0.29,0.27,0.25
1786892945.579,0.87,0.57,194.09,0.46,0.33,0.28,0.26
1786892946.076,0.73,0.52,198.15,0.44,0.30,0.28,0.29
1786892946.577,0.49,0.31,204.27,0.78,0.54,0.38,0.35
1786892947.085,0.66,0.43,199.39,0.62,0.66,0.44,0.44
1786892947.588,0.61,0.52,203.83,0.51,0.39,0.43,0.35
1786892948.095,0.61,0.37,193.70,0.55,0.41,0.36,0.36
1786892948.592,0.63,0.31,190.82,0.47,0.29,0.31,0.41
1786892949.086,0.53,0.39,210.22,0.53,0.37,0.35,0.35
1786892949.599,0.55,0.38,208.15,0.48,0.29,0.29,0.26
1786892950.110,0.60,0.41,200.22,0.45,0.28,0.26,0.26
1786892950.613,0.56,0.49,199.04,0.49,0.31,0.23,0.24
1786892951.115,0.51,0.33,196.55,0.51,0.32,0.26,0.25
1786892951.614,0.53,0.36,196.74,0.54,0.36,0.30,0.30
1786892952.114,0.57,0.33,200.89,0.54,0.36,0.34,0.28
1786892952.617,0.56,0.32,208.82,0.47,0.30,0.24,0.25
1786892953.129,0.57,0.33,202.35,0.49,0.29,0.34,0.23
1786892953.634,0.54,0.27,196.34,0.55,0.49,0.46,0.31
1786892954.134,0.51,0.37,198.97,0.47,0.28,0.27,0.20
1786892954.636,0.57,0.36,201.60,0.40,0.29,0.26,0.31
1786892955.140,0.49,0.36,204.55,0.47,0.31,0.30,0.28
1786892955.648,0.63,0.37,203.08,0.41,0.31,0.27,0.26
1786892956.155,0.53,0.30,192.17,0.60,0.30,0.25,0.30
1786892956.650,0.50,0.30,198.67,0.48,0.32,0.29,0.27
1786892957.151,0.85,0.55,198.52,0.50,0.34,0.32,0.27
1786892957.653,0.56,0.30,192.31,0.54,0.32,0.36,0.36
1786892958.148,0.62,0.38,197.72,0.64,0.53,0.41,0.52
