concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,4040,15,0,3.71,262.2,251,332,332,332
2,3256,15,15,4.61,210.3,202,277,277,277
4,2823,30,30,10.63,180.9,204,244,248,248
8,3345,60,60,17.94,199.9,192,290,293,293
16,3551,120,120,33.79,207.8,198,283,312,316
