1,1,1781070473290,1781070474552,1262,OK
1,2,1781070474562,1781070474956,394,OK
1,3,1781070474965,1781070475348,383,OK
1,4,1781070475357,1781070475742,385,OK
1,5,1781070475751,1781070476110,359,OK
1,6,1781070476120,1781070476537,417,OK
1,7,1781070476548,1781070476926,378,OK
1,8,1781070476934,1781070477303,369,OK
1,9,1781070477312,1781070477679,367,OK
1,10,1781070477688,1781070478090,402,OK
1,11,1781070478099,1781070478462,363,OK
1,12,1781070478471,1781070478818,347,OK
1,13,1781070478826,1781070479205,379,OK
1,14,1781070479216,1781070479595,379,OK
1,15,1781070479603,1781070479963,360,OK
