concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6098,15,0,2.46,397.9,390,628,628,628
2,4662,30,0,6.44,300.8,293,402,403,403
4,3320,60,0,18.07,192.8,169,357,390,390
8,4803,120,0,24.98,284.4,312,396,406,410
16,4320,240,0,55.56,244.8,232,378,460,485
