1789320717.413783197,17861
1789320717.535186676,17861
1789320717.677345805,17861
1789320717.839411736,17861
1789320717.952349726,17861
1789320718.081581151,17861
1789320718.195445820,17861
1789320718.306061859,17861
1789320718.416555919,17861
1789320718.527199769,17861
1789320718.639078499,17861
1789320718.750145862,17861
1789320718.861304532,17861
1789320718.969421785,17861
1789320719.079227764,17861
1789320719.188634291,17861
1789320719.300599249,17861
1789320719.415295826,17861
1789320719.527021962,17861
1789320719.638614619,17861
1789320719.751548232,17861
1789320719.865747065,17861
1789320719.980240569,17861
1789320720.094619947,17861
1789320720.207414062,17861
1789320720.319039379,17861
1789320720.435368070,17861
1789320720.548885431,17861
1789320720.662958163,17861
1789320720.777056381,17861
1789320720.888506818,17861
1789320721.002895088,17861
1789320721.116436098,17861
1789320721.229904165,17861
1789320721.343969541,17861
1789320721.456781630,17861
1789320721.569314624,17861
1789320721.682283240,17861
1789320721.794351501,17861
1789320721.913112725,17861
1789320722.027468821,17861
1789320722.142130288,17861
1789320722.255604740,17861
1789320722.369893290,17861
1789320722.482652412,17861
1789320722.597912802,17861
1789320722.712541373,17861
1789320722.831523796,17861
1789320722.942926690,17861
1789320723.053526749,17861
1789320723.168632343,17861
1789320723.279580306,17861
1789320723.390534585,17861
1789320723.501926668,17861
1789320723.614283203,17861
1789320723.726399772,17861
1789320723.842219691,17861
1789320723.952464314,17861
1789320724.064001666,17861
1789320724.174904707,17861
1789320724.284812515,17861
1789320724.396534554,17861
1789320724.508472564,17861
1789320724.621491457,17861
1789320724.733056628,17861
1789320724.847056845,17861
1789320724.963313666,17861
1789320725.077757309,17861
1789320725.191427706,17861
1789320725.301208147,17861
1789320725.413091976,17861
1789320725.524563265,17861
1789320725.640013305,17861
1789320725.750510426,17861
1789320725.860572426,17861
1789320725.976327622,17861
1789320726.085451453,17861
1789320726.197209620,17861
1789320726.306554802,17861
1789320726.413992024,17861
1789320726.526864930,17861
1789320726.638064839,17861
1789320726.749573624,17861
1789320726.858624443,17861
1789320726.969451409,17861
1789320727.079336435,17861
1789320727.200806757,17861
1789320727.336905583,17861
1789320727.483512069,17861
1789320727.594209335,17861
1789320727.703595628,17861
1789320727.817005503,17861
1789320727.927307666,17861
1789320728.037300159,17861
1789320728.161982173,17861
1789320728.376938776,17861
1789320728.624421896,17861
1789320728.889710637,17863
1789320729.137019252,17866
1789320729.349220653,17868
1789320729.574782301,17870
1789320729.790074740,17872
1789320730.031523655,17874
1789320730.243440204,17876
1789320730.415896174,17878
1789320730.579870542,17880
1789320730.756781609,17882
1789320730.920512573,17884
1789320731.070816605,17884
1789320731.228075578,17886
1789320731.400294748,17888
1789320731.569914868,17890
1789320731.730134487,17892
1789320731.906576018,17893
1789320732.058597580,17894
1789320732.228931367,17896
1789320732.396545892,17898
1789320732.583764021,17900
1789320732.752792978,17902
1789320732.938420836,17904
1789320733.125203096,17906
1789320733.270326524,17906
1789320733.417751638,17908
1789320733.585525141,17910
1789320733.746847796,17912
1789320733.928826203,17914
1789320734.067233261,17914
1789320734.233558169,17916
1789320734.401751471,17918
1789320734.578475706,17920
1789320734.751016304,17922
1789320734.916691126,17923
1789320735.065163103,17924
1789320735.219877494,17926
1789320735.436233589,17928
1789320735.607250720,17930
1789320735.775182094,17932
1789320735.954058156,17934
1789320736.176667500,17936
1789320736.415521479,17938
1789320736.579507791,17940
1789320736.731524436,17942
1789320736.870523644,17942
1789320737.031132820,17944
1789320737.194925332,17946
1789320737.362150650,17948
1789320737.509360504,17949
1789320737.646463170,17950
1789320737.802876849,17952
1789320737.969055016,17954
1789320738.143292402,17956
1789320738.319176611,17957
1789320738.503475926,17959
1789320738.650925569,17960
1789320738.809885893,17962
1789320738.969940397,17964
1789320739.157606682,17966
1789320739.298948516,17967
1789320739.445226794,17968
1789320739.625391558,17970
1789320739.787566529,17972
1789320739.963216427,17974
1789320740.113102579,17975
1789320740.256215522,17976
1789320740.429001131,17978
1789320740.597304954,17980
1789320740.775767708,17982
1789320740.918003602,17983
1789320741.055207880,17984
1789320741.255626865,17986
1789320741.418714105,17988
1789320741.583893567,17990
1789320741.743429522,17992
1789320741.881924713,17992
1789320742.041795051,17994
1789320742.195500854,17996
1789320742.357170972,17998
1789320742.518191105,17999
1789320742.673903066,18000
1789320742.832591300,18002
1789320742.999767838,18004
1789320743.154502453,18006
1789320743.320498002,18007
1789320743.462100353,18008
1789320743.630391907,18010
1789320743.795633298,18012
1789320743.957596026,18014
1789320744.129261125,18015
1789320744.311430393,18017
1789320744.460523871,18018
1789320744.634161576,18020
1789320744.802735165,18022
1789320745.039381586,18024
1789320745.266913323,18026
1789320745.433815838,18028
1789320745.602563531,18030
1789320745.771829223,18032
1789320745.916786223,18033
1789320746.067593141,18034
1789320746.244078078,18036
1789320746.407328721,18038
1789320746.578323903,18040
1789320746.720678790,18041
1789320746.864479570,18042
1789320747.072867967,18044
1789320747.239718178,18046
1789320747.418573148,18048
1789320747.579612699,18050
1789320747.752533132,18051
1789320747.928456612,18053
1789320748.079198684,18054
1789320748.251335581,18056
1789320748.411345002,18058
1789320748.572981861,18060
1789320748.728640574,18061
1789320748.864652203,18062
1789320749.036230168,18064
1789320749.198080297,18066
1789320749.359582730,18068
1789320749.526302061,18069
1789320749.671752094,18070
1789320749.829961444,18072
1789320750.040345345,18074
1789320750.201743394,18076
1789320750.377594434,18078
1789320750.546578312,18079
1789320750.690419540,18080
1789320750.851246419,18082
1789320751.019956493,18084
1789320751.190775487,18086
1789320751.338510483,18087
1789320751.481223233,18088
1789320751.659780723,18090
1789320751.830168733,18092
1789320752.009908943,18094
1789320752.176415823,18096
1789320752.336661823,18097
1789320752.486660737,18098
1789320752.652061484,18100
1789320752.862062563,18102
1789320753.023242416,18104
1789320753.194436448,18106
1789320753.366168176,18108
1789320753.509260819,18108
1789320753.676180651,18110
1789320753.868500184,18112
1789320754.153306490,18115
1789320754.300576655,18116
1789320754.464265052,18118
1789320754.628020986,18120
1789320754.796371052,18122
1789320754.944117364,18123
1789320755.085310090,18124
1789320755.251031737,18126
1789320755.413698360,18128
1789320755.578050122,18130
1789320755.760617289,18131
1789320755.942350750,18133
1789320756.084991690,18134
1789320756.261229880,18136
1789320756.435358071,18138
1789320756.590936826,18140
1789320756.768263051,18142
1789320756.903807573,18142
1789320757.073602161,18144
1789320757.243624304,18146
1789320757.411189801,18148
1789320757.574411656,18150
1789320757.756402719,18151
1789320757.896465547,18152
1789320758.060060670,18154
1789320758.221547452,18156
1789320758.380668550,18158
1789320758.554672555,18159
1789320758.700494790,18160
1789320758.877727599,18162
1789320759.051559374,18164
1789320759.210253186,18166
1789320759.388374030,18168
1789320759.551224819,18169
1789320759.694463703,18170
1789320759.869538328,18172
1789320760.039994568,18174
1789320760.211560280,18176
1789320760.366789186,18177
1789320760.499795864,18178
1789320760.672402989,18180
1789320760.832646975,18182
1789320760.994647883,18184
1789320761.159587526,18185
1789320761.297995209,18186
1789320761.465130191,18188
1789320761.660023879,18190
1789320761.822482735,18192
1789320761.970114378,18193
1789320762.129794176,18194
1789320762.278264541,18196
1789320762.441004092,18198
1789320762.613203736,18200
1789320762.838768586,18202
1789320763.053092448,18204
1789320763.212630046,18206
1789320763.390778536,18208
1789320763.561542363,18209
1789320763.703030219,18210
1789320763.874291208,18212
1789320764.045781365,18214
1789320764.211254919,18216
1789320764.376811365,18217
1789320764.588821303,18220
1789320764.724088358,18220
1789320764.890574399,18222
1789320765.048107055,18224
1789320765.240346424,18226
1789320765.397311297,18228
1789320765.571295109,18229
1789320765.730655911,18230
1789320765.889773148,18232
1789320766.062403953,18234
1789320766.224291708,18236
1789320766.403523864,18238
1789320766.577295210,18239
1789320766.729738506,18240
1789320766.879945677,18242
1789320767.028709204,18244
1789320767.184799087,18245
1789320767.364974339,18247
1789320767.533524211,18248
1789320767.687016012,18250
1789320767.853010913,18252
1789320768.005041508,18254
1789320768.178236873,18255
1789320768.317328823,18256
1789320768.471504103,18258
1789320768.637484247,18260
1789320768.807224519,18262
1789320768.972615736,18263
1789320769.116092483,18264
1789320769.272241889,18266
