arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,9,4,1,3,2,9,1786331076.693112567,1786331090.178195339,W1,1,1,3,0,2,1,1,3,0,2,4,0,3,1,1
A_vanilla,9,4,1,3,2,10,1786331090.188800796,1786331103.738134228,W1,1,1,3,0,2,1,1,3,0,2,3,1,8,0,1
B_oracle,9,4,1,3,2,1,1786331109.891892590,1786331123.383459386,W1,1,1,3,0,2,1,1,3,0,2,8,0,2,0,1
B_oracle,9,4,1,3,2,2,1786331123.396842683,1786331136.906232910,W1,1,1,3,0,2,1,1,3,0,2,2,0,8,0,1
B_oracle,9,4,1,3,2,3,1786331136.919713367,1786331150.434206071,W1,1,1,3,0,2,1,1,3,0,2,8,0,7,0,1
B_oracle,9,4,1,3,2,4,1786331150.438677842,1786331163.930227156,W1,1,1,3,0,2,1,1,3,0,2,7,0,5,0,1
B_oracle,9,4,1,3,2,5,1786331163.964200270,1786331177.546858920,W1,1,1,3,0,2,1,1,3,0,2,5,0,6,0,1
B_oracle,9,4,1,3,2,6,1786331177.565367984,1786331191.087247718,W1,1,1,3,0,2,1,1,3,0,2,6,0,5,0,1
B_oracle,9,4,1,3,2,7,1786331191.100453042,1786331204.629528656,W1,1,1,3,0,2,1,1,3,0,2,5,0,1,0,1
B_oracle,9,4,1,3,2,8,1786331204.641765360,1786331218.165268889,W1,1,1,3,0,2,1,1,3,0,2,1,0,6,0,1
B_oracle,9,4,1,3,2,9,1786331218.176065325,1786331231.681731997,W1,1,1,3,0,2,1,1,3,0,2,6,0,7,0,1
B_oracle,9,4,1,3,2,10,1786331231.690388974,1786331245.166433159,W1,1,1,3,0,2,1,1,3,0,2,7,0,6,0,1
C_predictor,9,4,1,3,2,1,1786331251.048144201,1786331264.595406167,W1,1,1,3,0,2,1,1,3,0,2,6,0,4,0,1
C_predictor,9,4,1,3,2,2,1786331264.600444447,1786331278.203505356,W1,1,1,3,0,2,1,1,3,0,2,4,0,5,0,1
C_predictor,9,4,1,3,2,3,1786331278.219482879,1786331291.762735142,W1,1,1,3,0,2,1,1,3,0,2,5,0,4,0,1
C_predictor,9,4,1,3,2,4,1786331291.766206019,1786331305.367694724,W1,1,1,3,0,2,1,1,3,0,2,4,0,7,0,1
C_predictor,9,4,1,3,2,5,1786331305.376053261,1786331318.977174573,W1,1,1,3,0,2,1,1,3,0,2,7,0,8,0,1
C_predictor,9,4,1,3,2,6,1786331318.986154374,1786331332.511152125,W1,1,1,3,0,2,1,1,3,0,2,8,0,5,0,1
