concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6308,15,0,2.38,409.5,403,452,452,452
2,4809,15,15,3.12,311.8,309,352,352,352
4,4862,30,30,6.17,313.3,309,351,355,355
8,5727,60,60,10.48,361.4,362,409,414,414
16,4889,120,120,24.54,292.0,281,376,436,494
