concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,3952,15,0,3.80,256.6,255,317,317,317
2,3203,15,15,4.68,205.4,202,248,248,248
4,3354,30,30,8.94,214.7,214,241,243,243
8,4063,60,60,14.77,258.4,257,280,284,284
16,4778,120,120,25.12,265.6,216,571,585,590
