idx,leader_before,leader_after,fp_node,live,time_to_leader_s,fp_delivered,advice_seen_on
1,6,2,6,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
2,2,4,2,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
3,4,5,4,1,2,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
4,5,6,5,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
5,6,5,6,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
6,5,3,5,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
7,3,7,-,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
8,7,1,7,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
9,1,5,7,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
10,5,7,7,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
