concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,7287,20,0,2.74,355.1,337,710,710,710
2,5343,20,20,3.74,260.2,254,364,364,364
4,4394,40,40,9.10,172.2,133,259,272,272
8,5520,80,80,14.49,255.5,270,312,330,330
16,5812,160,160,27.53,263.3,220,371,390,392
