# start rate=20 seed=3 dur=420 n=7 target=3 events=90
7.2 fp=[4] true=[3] merged=[3, 4]
7.5 fp=[4] true=[3] merged=[3, 4]
7.8 fp=[4] true=[3] merged=[3, 4]
8.1 fp=[4] true=[3] merged=[3, 4]
8.4 fp=[4] true=[3] merged=[3, 4]
8.8 fp=[4] true=[3] merged=[3, 4]
9.1 fp=[4] true=[3] merged=[3, 4]
9.4 fp=[4] true=[3] merged=[3, 4]
9.8 fp=[4] true=[3] merged=[3, 4]
10.1 fp=[4] true=[3] merged=[3, 4]
10.4 fp=[4] true=[3] merged=[3, 4]
10.7 fp=[4] true=[3] merged=[3, 4]
11.0 fp=[4] true=[3] merged=[3, 4]
11.3 fp=[4] true=[3] merged=[3, 4]
11.7 fp=[4] true=[3] merged=[3, 4]
12.0 fp=[4] true=[3] merged=[3, 4]
12.3 fp=[4] true=[3] merged=[3, 4]
12.6 fp=[4] true=[3] merged=[3, 4]
12.9 fp=[4] true=[3] merged=[3, 4]
13.2 fp=[4] true=[3] merged=[3, 4]
13.5 fp=[4] true=[3] merged=[3, 4]
13.8 fp=[4] true=[3] merged=[3, 4]
14.1 fp=[4] true=[3] merged=[3, 4]
14.5 fp=[4] true=[3] merged=[3, 4]
14.8 fp=[4] true=[3] merged=[3, 4]
15.1 fp=[4] true=[3] merged=[3, 4]
15.4 fp=[4] true=[3] merged=[3, 4]
15.7 fp=[4] true=[3] merged=[3, 4]
16.0 fp=[4] true=[3] merged=[3, 4]
16.3 fp=[4] true=[3] merged=[3, 4]
16.7 fp=[4] true=[3] merged=[3, 4]
17.0 fp=[4] true=[3] merged=[3, 4]
17.3 fp=[4] true=[3] merged=[3, 4]
17.6 fp=[4] true=[3] merged=[3, 4]
17.9 fp=[4] true=[3] merged=[3, 4]
18.2 fp=[1] true=[3] merged=[1, 3]
18.5 fp=[1] true=[3] merged=[1, 3]
18.9 fp=[1] true=[3] merged=[1, 3]
19.2 fp=[1] true=[3] merged=[1, 3]
19.5 fp=[1] true=[3] merged=[1, 3]
19.8 fp=[1] true=[3] merged=[1, 3]
20.1 fp=[1] true=[3] merged=[1, 3]
20.4 fp=[1] true=[3] merged=[1, 3]
20.7 fp=[1] true=[3] merged=[1, 3]
21.0 fp=[1] true=[3] merged=[1, 3]
21.4 fp=[1] true=[3] merged=[1, 3]
21.7 fp=[1] true=[3] merged=[1, 3]
22.0 fp=[1] true=[3] merged=[1, 3]
22.3 fp=[1] true=[3] merged=[1, 3]
22.6 fp=[1] true=[3] merged=[1, 3]
22.9 fp=[1] true=[3] merged=[1, 3]
23.3 fp=[1] true=[3] merged=[1, 3]
23.6 fp=[1] true=[3] merged=[1, 3]
23.9 fp=[1] true=[3] merged=[1, 3]
24.2 fp=[1] true=[3] merged=[1, 3]
24.5 fp=[1] true=[3] merged=[1, 3]
24.8 fp=[1] true=[3] merged=[1, 3]
25.1 fp=[1] true=[3] merged=[1, 3]
25.4 fp=[1] true=[3] merged=[1, 3]
25.8 fp=[1] true=[3] merged=[1, 3]
26.1 fp=[1] true=[3] merged=[1, 3]
26.4 fp=[1] true=[3] merged=[1, 3]
26.7 fp=[1] true=[3] merged=[1, 3]
27.0 fp=[1] true=[3] merged=[1, 3]
27.3 fp=[1] true=[3] merged=[1, 3]
27.6 fp=[1] true=[3] merged=[1, 3]
27.9 fp=[1] true=[3] merged=[1, 3]
28.3 fp=[1] true=[3] merged=[1, 3]
28.6 fp=[1] true=[3] merged=[1, 3]
28.9 fp=[1] true=[3] merged=[1, 3]
29.2 fp=[1] true=[3] merged=[1, 3]
29.5 fp=[1] true=[3] merged=[1, 3]
29.8 fp=[1] true=[3] merged=[1, 3]
30.2 fp=[1] true=[3] merged=[1, 3]
30.5 fp=[1] true=[3] merged=[1, 3]
30.8 fp=[1] true=[3] merged=[1, 3]
31.1 fp=[1] true=[3] merged=[1, 3]
31.4 fp=[1] true=[3] merged=[1, 3]
31.7 fp=[1] true=[3] merged=[1, 3]
32.1 fp=[1] true=[3] merged=[1, 3]
32.4 fp=[1] true=[3] merged=[1, 3]
32.7 fp=[1] true=[3] merged=[1, 3]
33.0 fp=[1] true=[3] merged=[1, 3]
33.3 fp=[1] true=[3] merged=[1, 3]
33.6 fp=[1] true=[3] merged=[1, 3]
33.9 fp=[1] true=[3] merged=[1, 3]
34.2 fp=[1] true=[3] merged=[1, 3]
34.5 fp=[1] true=[3] merged=[1, 3]
34.8 fp=[1] true=[3] merged=[1, 3]
35.2 fp=[1] true=[3] merged=[1, 3]
35.5 fp=[1] true=[3] merged=[1, 3]
35.8 fp=[1] true=[3] merged=[1, 3]
36.1 fp=[1] true=[3] merged=[1, 3]
36.4 fp=[1] true=[3] merged=[1, 3]
36.7 fp=[1] true=[3] merged=[1, 3]
37.0 fp=[1] true=[3] merged=[1, 3]
37.3 fp=[1] true=[3] merged=[1, 3]
37.7 fp=[1] true=[3] merged=[1, 3]
38.0 fp=[1] true=[3] merged=[1, 3]
38.3 fp=[2] true=[3] merged=[2, 3]
38.6 fp=[2] true=[3] merged=[2, 3]
38.9 fp=[2] true=[3] merged=[2, 3]
39.2 fp=[2] true=[3] merged=[2, 3]
39.5 fp=[2] true=[3] merged=[2, 3]
39.9 fp=[2] true=[3] merged=[2, 3]
40.2 fp=[2] true=[3] merged=[2, 3]
40.5 fp=[2] true=[3] merged=[2, 3]
40.8 fp=[2] true=[3] merged=[2, 3]
41.1 fp=[2] true=[3] merged=[2, 3]
41.4 fp=[2] true=[3] merged=[2, 3]
41.7 fp=[2] true=[3] merged=[2, 3]
42.1 fp=[2] true=[3] merged=[2, 3]
42.4 fp=[2] true=[3] merged=[2, 3]
42.7 fp=[2] true=[3] merged=[2, 3]
43.0 fp=[2] true=[3] merged=[2, 3]
43.3 fp=[2] true=[3] merged=[2, 3]
43.6 fp=[2] true=[3] merged=[2, 3]
43.9 fp=[2] true=[3] merged=[2, 3]
44.2 fp=[2] true=[3] merged=[2, 3]
44.5 fp=[2] true=[3] merged=[2, 3]
44.9 fp=[2] true=[3] merged=[2, 3]
45.2 fp=[2] true=[3] merged=[2, 3]
45.5 fp=[2] true=[3] merged=[2, 3]
45.8 fp=[2] true=[3] merged=[2, 3]
46.1 fp=[2] true=[3] merged=[2, 3]
46.4 fp=[2] true=[3] merged=[2, 3]
46.7 fp=[2] true=[3] merged=[2, 3]
47.0 fp=[2] true=[3] merged=[2, 3]
47.3 fp=[2] true=[3] merged=[2, 3]
47.6 fp=[2] true=[3] merged=[2, 3]
48.0 fp=[2] true=[3] merged=[2, 3]
48.3 fp=[2] true=[3] merged=[2, 3]
48.6 fp=[2] true=[3] merged=[2, 3]
49.0 fp=[2] true=[3] merged=[2, 3]
49.3 fp=[2] true=[3] merged=[2, 3]
49.6 fp=[2] true=[3] merged=[2, 3]
49.9 fp=[2] true=[3] merged=[2, 3]
50.2 fp=[2] true=[3] merged=[2, 3]
50.5 fp=[2] true=[3] merged=[2, 3]
50.8 fp=[2] true=[3] merged=[2, 3]
51.1 fp=[2] true=[3] merged=[2, 3]
51.5 fp=[2] true=[3] merged=[2, 3]
51.8 fp=[2] true=[3] merged=[2, 3]
52.1 fp=[2] true=[3] merged=[2, 3]
52.4 fp=[2] true=[3] merged=[2, 3]
52.7 fp=[2] true=[3] merged=[2, 3]
53.0 fp=[2] true=[3] merged=[2, 3]
53.3 fp=[2] true=[3] merged=[2, 3]
53.6 fp=[2] true=[3] merged=[2, 3]
54.0 fp=[2] true=[3] merged=[2, 3]
54.3 fp=[2] true=[3] merged=[2, 3]
54.6 fp=[2] true=[3] merged=[2, 3]
54.9 fp=[2] true=[3] merged=[2, 3]
55.2 fp=[2] true=[3] merged=[2, 3]
55.5 fp=[2] true=[3] merged=[2, 3]
55.8 fp=[2] true=[3] merged=[2, 3]
56.1 fp=[2] true=[3] merged=[2, 3]
56.4 fp=[2] true=[3] merged=[2, 3]
56.8 fp=[2] true=[3] merged=[2, 3]
57.1 fp=[2] true=[3] merged=[2, 3]
57.4 fp=[2] true=[3] merged=[2, 3]
57.7 fp=[2] true=[3] merged=[2, 3]
58.0 fp=[2] true=[3] merged=[2, 3]
58.3 fp=[2] true=[3] merged=[2, 3]
58.6 fp=[2] true=[3] merged=[2, 3]
58.9 fp=[2] true=[3] merged=[2, 3]
59.3 fp=[2] true=[3] merged=[2, 3]
59.6 fp=[2] true=[3] merged=[2, 3]
60.0 fp=[2] true=[3] merged=[2, 3]
60.3 fp=[2] true=[3] merged=[2, 3]
60.6 fp=[2] true=[3] merged=[2, 3]
60.9 fp=[2] true=[3] merged=[2, 3]
61.2 fp=[2] true=[3] merged=[2, 3]
61.5 fp=[2] true=[3] merged=[2, 3]
61.8 fp=[2] true=[3] merged=[2, 3]
62.1 fp=[2] true=[3] merged=[2, 3]
62.4 fp=[2] true=[3] merged=[2, 3]
62.8 fp=[2] true=[3] merged=[2, 3]
63.1 fp=[2] true=[3] merged=[2, 3]
63.4 fp=[2] true=[3] merged=[2, 3]
63.7 fp=[2] true=[3] merged=[2, 3]
64.0 fp=[4] true=[3] merged=[3, 4]
64.3 fp=[4] true=[3] merged=[3, 4]
64.7 fp=[4] true=[3] merged=[3, 4]
65.0 fp=[4] true=[3] merged=[3, 4]
65.3 fp=[4] true=[3] merged=[3, 4]
65.6 fp=[4] true=[3] merged=[3, 4]
