concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5141,20,0
0,3.89,250.6,236,312,312,312
2,4307,20,20,4.64,209.2,207,258,258,258
4,4337,40,40,9.22,196.5,205,261,275,275
8,4992,80,80,16.03,233.8,257,286,363,363
16,5321,160,160,30.07,227.4,203,354,364,405
