concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,7072,15,0,2.12,459.3,463,490,490,490
2,5562,30,0,5.39,360.8,363,405,407,407
4,4576,60,0,13.11,284.8,350,393,400,400
8,3955,120,0,30.34,241.2,220,413,430,435
16,5792,240,0,41.44,345.6,333,497,569,608
