tps,seed,p50_raft,p95_raft,p99_raft,p50_ai,p95_ai,p99_ai,p50_bft,p95_bft,p99_bft
100,0,515.3716388734261,519.4322484106677,523.1001785850224,514.9190918690717,518.8265611837145,520.7714226476086,530.9567101570901,536.335771635733,539.3417253765314
100,1,515.5041636297378,519.4058703775937,521.1014188360009,514.8601659590315,518.0731056235359,520.5856344980946,531.069964803607,535.5726827449356,538.6125374553476
100,2,515.456817258583,518.724205033122,521.1507099620297,514.9944894584719,518.5340306934552,521.736648590787,531.0820606373494,535.9482592759723,538.9587216110817
100,3,515.543974109687,519.2800454817751,522.0889349464853,514.8275881530803,518.7870044170672,521.2841731423758,530.9181908532314,535.207126246069,537.5723395311319
100,4,515.3607227206696,519.0979797125324,521.956351718058,514.8959637351766,518.858294398343,521.7785977712189,530.9255601860826,535.6746006091327,538.1855437951035
100,5,515.309785427346,519.3487256046051,521.5245522083076,514.8418577523348,518.8614084534811,521.284488918862,530.6971605943788,535.2848973495359,538.633477618192
100,6,515.4016445445832,519.0422386224207,522.3560199810366,514.882471990135,518.1490238110803,520.1868753834927,530.7506736253813,535.0099199876141,539.1965023648971
100,7,515.3929767553414,519.2314969379026,521.5190843360805,514.8210087021132,519.1482089002014,521.1547700223687,530.7493946533114,536.2505271173318,538.3892786182511
100,8,515.2259905523356,519.3010000255938,521.5697496833534,515.0047636631641,518.6217309580813,521.0273712476796,531.032459691872,536.5041804769243,538.7180972051026
100,9,515.3973937667868,519.3417512753072,521.2765030767177,514.9732837473043,518.7895424543858,520.8074257703622,530.9721455153767,536.4603436255425,538.7728278178824
100,10,515.5095431531755,519.2120583262752,521.4122514664972,514.9991842320687,518.7080804893851,520.1417802374824,530.9907998277104,535.3664578456088,537.8618594799456
100,11,515.3273084958555,519.1363863594717,521.6170618193964,514.8902192729827,518.7519156479143,521.094210021508,531.1177531740261,535.689018763407,537.4060838594912
100,12,515.465746095431,519.6941615308772,522.1093879386849,514.9078984403129,519.0951106930263,521.2592652605945,531.0192033548963,536.2786717786648,538.7287797585602
100,13,515.4259902101969,519.7973191842613,523.2105738822232,514.8753681248807,518.8256725027345,521.3135462499041,530.9110623048813,535.2050074847768,537.7881327334966
100,14,515.538732417182,519.7190400134016,521.29772125564,514.7894288533694,518.8770256629614,520.6130415546667,531.0409262045183,535.78916077424,538.0742315227976
100,15,515.5323991039492,519.1178946315742,520.9815961944088,515.0212586545122,518.9829947502479,520.6992876247759,531.0082951864223,535.2384184307281,537.8442367272389
100,16,515.4295676425902,519.6909823101313,522.5224600007361,514.9734076207078,518.7337102256542,520.7560456818958,531.0221877931374,535.959069321528,539.0562596444291
100,17,515.3001395580882,518.8196794472204,520.8372497826293,514.8200949511532,518.3312643193204,520.5643041424324,531.0151434401649,535.2950614153376,538.6266109171397
100,18,515.3885596073178,519.4335214316051,521.5087824976168,515.1185363228019,519.1639673271231,521.9376220259492,531.1693120884586,535.5236971098266,538.4291926496776
100,19,515.4184365151428,519.2331006458548,521.6154202912945,514.8058074826874,518.8133285157634,522.259427267739,530.9581477849805,535.5151398880326,539.1869762370193
100,20,515.3522028409583,519.4276757856035,521.7358479572017,514.9078100623601,518.9193794709266,522.6259931806813,531.011869114185,536.0092908811278,540.0191921737813
100,21,515.5434148865936,519.21090463565,521.1219554347875,515.15408244817,519.2443349192371,521.8515481040405,530.8889186118568,536.1425950475725,539.8040772396391
100,22,515.3180926288916,519.4629121343039,523.0210310287284,514.7734277682905,518.9053865171818,521.0312050062969,530.9373872220041,535.914142132624,539.1521009780522
100,23,515.4300255772805,520.0400218532051,521.9196979646686,514.9251476801765,518.8663235498254,522.3691504719351,530.7945478248648,535.3007616022935,537.8886404525102
100,24,515.5402347101113,518.6283502945874,520.7589603232956,515.1292218710593,519.0209568851393,521.0634759865867,530.9863004711763,535.9477631272259,538.6966343996609
100,25,515.5019113908915,519.5683404418215,522.8314863510479,514.931171948667,518.6290724440946,521.412199716436,531.0045533751987,535.6727830559208,539.650417484371
