concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,7025,15,0,2.14,455.7,444,531,531,531
2,5880,30,0,5.10,376.7,329,1114,1140,1140
4,5594,60,0,10.73,357.6,361,395,397,397
8,3758,120,0,31.93,229.6,217,356,383,389
16,6667,240,0,36.00,399.2,390,588,662,722
