1789309315.827,3.404,0.354,0.304,0.206,0.285
1789309316.132,0.229,0.391,0.314,0.240,0.249
1789309316.434,0.222,0.318,0.347,0.274,0.291
1789309316.736,0.224,0.316,0.528,0.294,0.321
1789309317.038,0.226,0.396,0.385,0.326,0.301
1789309317.340,0.322,0.396,0.353,0.288,0.541
1789309317.642,0.266,0.392,0.505,0.326,0.340
1789309317.945,0.218,0.453,0.312,0.237,0.226
1789309318.246,0.230,0.411,0.370,0.300,0.357
1789309318.549,0.226,0.357,0.327,0.246,0.240
1789309318.850,0.234,0.399,0.376,0.232,0.341
1789309319.152,0.221,0.446,0.313,0.246,0.258
1789309319.454,0.210,0.443,0.274,0.263,0.245
1789309319.756,0.257,0.335,0.315,0.242,0.317
1789309320.058,0.257,0.380,15.507,0.470,20.890
1789309320.396,0.229,0.373,0.397,0.279,0.216
1789309320.698,0.566,0.353,0.347,0.310,0.366
1789309321.001,0.426,0.502,0.358,0.312,0.293
1789309321.303,0.226,0.410,1.007,0.292,0.483
1789309321.606,0.239,0.409,21.722,0.655,0.330
1789309321.930,0.226,0.399,1.222,0.354,0.305
1789309322.233,0.211,0.472,0.294,3.248,0.901
1789309322.538,0.216,0.417,0.433,0.271,0.291
1789309322.841,0.221,0.429,0.402,0.288,0.284
1789309323.143,0.231,0.383,0.377,0.308,0.343
1789309323.445,0.227,0.445,0.363,0.329,0.298
1789309323.747,0.217,0.386,0.333,0.327,0.254
1789309324.049,0.226,0.364,0.314,0.253,0.278
1789309324.351,0.223,0.437,0.304,0.413,0.314
1789309324.653,0.226,0.371,0.480,0.266,0.312
1789309324.955,0.295,0.401,0.324,0.254,0.392
1789309325.257,0.254,0.360,0.397,0.267,0.244
1789309325.559,0.219,0.347,0.305,0.365,0.399
1789309325.861,0.249,0.341,0.304,0.244,0.276
1789309326.163,0.214,0.464,0.386,0.393,0.381
1789309326.465,0.219,0.390,0.333,0.343,0.348
1789309326.767,0.246,0.326,0.340,0.238,0.335
1789309327.069,0.248,0.379,0.340,0.300,0.245
1789309327.371,0.226,0.469,0.301,0.275,0.367
1789309327.673,0.230,0.355,0.399,0.241,0.270
1789309327.975,0.208,0.462,0.323,0.247,0.242
1789309328.277,0.255,0.389,0.298,0.258,0.246
1789309328.579,0.262,0.410,0.294,0.261,0.284
1789309328.881,0.239,0.384,0.434,0.265,0.237
1789309329.183,0.243,0.338,0.321,0.316,0.465
1789309329.485,0.262,0.385,0.306,0.230,0.236
1789309329.787,0.244,0.320,0.351,0.319,0.323
1789309330.089,0.253,0.401,0.353,0.240,0.237
1789309330.391,0.221,0.364,0.389,0.257,0.329
1789309330.693,0.241,0.367,0.320,0.334,0.319
1789309330.995,0.254,0.428,0.342,0.321,0.268
1789309331.297,0.249,0.384,0.247,0.243,0.238
1789309331.599,0.227,0.390,0.331,0.236,0.215
1789309331.901,0.215,0.328,0.323,0.240,0.242
1789309332.203,0.214,0.316,0.287,0.737,0.294
1789309332.505,0.217,0.349,0.293,0.237,0.301
1789309332.807,0.220,0.372,0.331,0.262,0.336
1789309333.109,0.260,0.475,0.399,0.294,0.250
1789309333.411,0.207,0.376,0.366,0.234,0.234
1789309333.713,0.258,0.351,0.316,0.314,0.306
1789309334.015,0.250,0.390,0.584,0.254,0.267
1789309334.317,0.220,0.382,0.339,0.458,0.379
1789309334.620,0.214,0.345,0.311,0.264,0.323
1789309334.922,0.217,0.362,0.310,0.277,0.218
1789309335.223,0.216,0.575,0.392,0.273,0.219
1789309335.526,0.231,0.436,0.300,0.241,0.224
1789309335.827,0.209,0.368,0.491,0.281,0.247
1789309336.129,0.217,0.351,0.299,0.251,0.278
1789309336.431,0.230,0.335,0.400,0.329,0.245
1789309336.733,0.252,0.441,0.316,0.276,0.235
1789309337.035,0.244,0.403,0.492,0.266,0.254
1789309337.337,0.212,0.378,0.395,0.387,0.254
1789309337.640,0.211,0.428,0.380,0.269,0.235
1789309337.941,0.212,0.379,0.354,0.332,0.237
1789309338.244,0.218,0.441,0.367,0.244,0.243
1789309338.546,0.243,0.333,0.340,0.283,0.278
1789309338.848,0.217,0.319,0.326,0.252,0.256
1789309339.149,0.211,0.376,0.321,0.297,0.226
1789309339.451,0.249,0.384,0.323,0.233,0.248
1789309339.753,0.258,0.446,0.268,0.252,0.224
1789309340.055,0.216,0.404,0.484,0.288,0.265
1789309340.357,0.202,0.424,0.296,0.229,0.241
1789309340.659,0.216,0.350,0.512,0.253,0.427
1789309340.961,0.248,0.324,0.312,0.264,0.305
1789309341.263,0.225,0.405,0.393,0.247,0.306
1789309341.565,0.215,0.382,0.375,0.293,0.240
1789309341.867,0.214,0.384,0.301,0.257,0.220
1789309342.169,0.217,0.347,0.320,0.277,0.303
1789309342.471,0.218,0.362,0.324,0.350,0.350
1789309342.773,0.231,0.347,0.321,0.233,0.294
1789309343.075,0.226,0.381,0.317,0.282,0.208
1789309343.377,0.249,0.412,0.307,0.334,0.322
1789309343.679,0.245,0.394,0.416,0.262,0.234
1789309343.981,0.263,0.381,0.315,0.282,0.345
1789309344.283,0.241,0.330,0.333,0.252,0.404
1789309344.585,0.237,0.355,0.352,0.260,0.237
1789309344.887,0.251,0.374,0.397,0.300,0.260
1789309345.189,0.274,0.374,0.301,0.249,0.253
1789309345.491,0.222,0.497,0.332,0.305,0.298
1789309345.793,0.254,0.335,0.319,0.321,0.494
1789309346.095,0.225,0.448,0.374,0.288,0.295
1789309346.398,0.219,0.344,0.323,0.248,0.207
1789309346.699,0.239,0.373,0.516,0.265,0.244
1789309347.001,0.235,0.373,0.293,0.323,0.318
1789309347.303,0.215,0.369,0.425,0.272,0.237
1789309347.605,0.251,0.369,0.329,0.240,0.231
1789309347.907,0.261,0.367,0.308,0.258,0.321
1789309348.209,0.248,0.436,0.320,0.303,0.252
1789309348.511,0.232,0.504,0.360,0.283,0.287
1789309348.813,0.225,0.428,0.299,0.384,0.259
1789309349.116,0.217,0.348,0.382,0.270,0.241
1789309349.417,0.219,0.376,0.276,0.257,0.250
1789309349.719,0.248,0.337,0.349,0.260,0.362
