arm,N,m,chance_pct,seed,target_wins,elec,live,w0,wp,w1,w1_wins
A_vanilla,9,1,12.5,1,1,10,10,1,0,9,1
B_oracle,9,1,12.5,1,0,10,10,0,0,10,0
C_predictor,9,1,12.5,1,0,10,10,0,0,10,0
A_vanilla,9,1,12.5,2,2,10,10,0,0,10,2
B_oracle,9,1,12.5,2,0,10,10,0,0,10,0
C_predictor,9,1,12.5,2,0,10,10,0,0,10,0
A_vanilla,9,1,12.5,3,0,10,10,0,0,10,0
B_oracle,9,1,12.5,3,0,10,10,0,0,10,0
C_predictor,9,1,12.5,3,0,10,10,0,0,10,0
A_vanilla,9,1,12.5,4,2,10,10,0,0,10,2
B_oracle,9,1,12.5,4,0,10,10,0,0,10,0
C_predictor,9,1,12.5,4,0,10,10,0,0,10,0
