arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,9,4,1,3,1,1,1786333197.179459811,1786333210.805534612,W0,0,0,,0,3,1,1,3,0,3,3,1,5,0,1
A_vanilla,9,4,1,3,1,2,1786333210.822734157,1786333224.429433490,W1,1,1,3,0,3,1,1,3,0,3,5,0,4,0,1
A_vanilla,9,4,1,3,1,3,1786333224.443150684,1786333238.009638596,W1,1,1,3,0,3,1,1,3,0,3,4,0,6,0,1
A_vanilla,9,4,1,3,1,4,1786333238.019519570,1786333251.614880892,W1,1,1,3,0,3,1,1,3,0,3,6,0,1,0,1
A_vanilla,9,4,1,3,1,5,1786333251.632300223,1786333265.219686608,W1,1,1,3,0,3,1,1,3,0,3,1,0,6,0,1
A_vanilla,9,4,1,3,1,6,1786333265.235311233,1786333278.813967322,W1,1,1,3,0,3,1,1,3,0,3,6,0,4,0,1
A_vanilla,9,4,1,3,1,7,1786333278.839474738,1786333292.449247835,W1,1,1,3,0,3,1,1,3,0,3,4,0,2,0,1
A_vanilla,9,4,1,3,1,8,1786333292.463706372,1786333306.091511144,W1,1,1,3,0,3,1,1,3,0,3,2,0,3,1,1
A_vanilla,9,4,1,3,1,9,1786333306.099594579,1786333319.731273197,W1,1,1,3,0,3,1,1,3,0,3,3,1,4,0,1
A_vanilla,9,4,1,3,1,10,1786333319.742315669,1786333333.348567131,W1,1,1,3,0,3,1,1,3,0,3,4,0,8,0,1
B_oracle,9,4,1,3,1,1,1786333340.125549922,1786333353.774831677,W1,1,1,3,0,3,1,1,3,0,3,8,0,9,0,1
B_oracle,9,4,1,3,1,2,1786333353.794395263,1786333367.453825185,W1,1,1,3,0,3,1,1,3,0,3,9,0,5,0,1
B_oracle,9,4,1,3,1,3,1786333367.473667306,1786333381.049225742,W1,1,1,3,0,3,1,1,3,0,3,5,0,1,0,1
B_oracle,9,4,1,3,1,4,1786333381.054177915,1786333394.650270774,W1,1,1,3,0,3,1,1,3,0,3,1,0,9,0,1
B_oracle,9,4,1,3,1,5,1786333394.672504486,1786333408.229553284,W1,1,1,3,0,3,1,1,3,0,3,9,0,8,0,1
B_oracle,9,4,1,3,1,6,1786333408.238058801,1786333421.847146758,W1,1,1,3,0,3,1,1,3,0,3,8,0,6,0,1
B_oracle,9,4,1,3,1,7,1786333421.863071325,1786333435.408331876,W1,1,1,3,0,3,1,1,3,0,3,6,0,4,0,1
B_oracle,9,4,1,3,1,8,1786333435.412482909,1786333448.959162644,W1,1,1,3,0,3,1,1,3,0,3,4,0,8,0,1
B_oracle,9,4,1,3,1,9,1786333448.972479891,1786333462.552709253,W1,1,1,3,0,3,1,1,3,0,3,8,0,1,0,1
B_oracle,9,4,1,3,1,10,1786333462.576282150,1786333476.125473977,W1,1,1,3,0,3,1,1,3,0,3,1,0,4,0,1
C_predictor,9,4,1,3,1,1,1786333482.314263991,1786333495.924889002,W1,1,1,3,0,3,1,1,3,0,3,4,0,6,0,1
C_predictor,9,4,1,3,1,2,1786333495.939650797,1786333509.549932671,W1,1,1,3,0,3,1,1,3,0,3,6,0,8,0,1
C_predictor,9,4,1,3,1,3,1786333509.562774148,1786333523.191030308,W1,1,1,3,0,3,1,1,3,0,3,8,0,5,0,1
C_predictor,9,4,1,3,1,4,1786333523.195924947,1786333536.753169837,W1,1,1,3,0,3,1,1,3,0,3,5,0,6,0,1
C_predictor,9,4,1,3,1,5,1786333536.760588761,1786333550.345608597,W1,1,1,3,0,3,1,1,3,0,3,6,0,4,0,1
C_predictor,9,4,1,3,1,6,1786333550.357876759,1786333563.950502584,W1,1,1,3,0,3,1,1,3,0,3,4,0,2,0,1
C_predictor,9,4,1,3,1,7,1786333563.958545298,1786333577.516429214,W1,1,1,3,0,3,1,1,3,0,3,2,0,8,0,1
C_predictor,9,4,1,3,1,8,1786333577.528478474,1786333591.078489490,W1,1,1,3,0,3,1,1,3,0,3,8,0,6,0,1
C_predictor,9,4,1,3,1,9,1786333591.088389703,1786333604.664626521,W1,1,1,3,0,3,1,1,3,0,3,6,0,1,0,1
C_predictor,9,4,1,3,1,10,1786333604.673916758,1786333618.271676290,W1,1,1,3,0,3,1,1,3,0,3,1,0,9,0,1
A_vanilla,9,4,1,3,2,1,1786333626.166456919,1786333639.708334590,W1,1,1,3,0,3,1,1,3,0,3,9,0,2,0,1
A_vanilla,9,4,1,3,2,2,1786333639.723472439,1786333653.287096780,W1,1,1,3,0,3,1,1,3,0,3,2,0,8,0,1
A_vanilla,9,4,1,3,2,3,1786333653.292083356,1786333666.863143872,W1,1,1,3,0,3,1,1,3,0,3,8,0,5,0,1
A_vanilla,9,4,1,3,2,4,1786333666.871834123,1786333680.501922336,W1,1,1,3,0,3,1,1,3,0,3,5,0,7,0,1
A_vanilla,9,4,1,3,2,5,1786333680.506848565,1786333694.089201823,W1,1,1,3,0,3,1,1,3,0,3,7,0,3,1,1
A_vanilla,9,4,1,3,2,6,1786333694.099237651,1786333707.747524659,W1,1,1,3,0,3,1,1,3,0,3,3,1,5,0,1
A_vanilla,9,4,1,3,2,7,1786333707.774141587,1786333721.478929225,W1,1,1,3,0,3,1,1,3,0,3,5,0,1,0,1
A_vanilla,9,4,1,3,2,8,1786333721.488920732,1786333735.100764904,W1,1,1,3,0,3,1,1,3,0,3,1,0,6,0,1
A_vanilla,9,4,1,3,2,9,1786333735.121831916,1786333748.723174762,W1,1,1,3,0,3,1,1,3,0,3,6,0,3,1,1
A_vanilla,9,4,1,3,2,10,1786333748.727745291,1786333762.351677834,W1,1,1,3,0,3,1,1,3,0,3,3,1,4,0,1
B_oracle,9,4,1,3,2,1,1786333771.562631625,1786333785.119536162,W1,1,1,3,0,3,1,1,3,0,3,4,0,8,0,1
B_oracle,9,4,1,3,2,2,1786333785.124293876,1786333798.794483851,W1,1,1,3,0,3,1,1,3,0,3,8,0,9,0,1
B_oracle,9,4,1,3,2,3,1786333798.822388055,1786333812.413917331,W1,1,1,3,0,3,1,1,3,0,3,9,0,4,0,1
B_oracle,9,4,1,3,2,4,1786333812.423665859,1786333826.053490189,W1,1,1,3,0,3,1,1,3,0,3,4,0,5,0,1
B_oracle,9,4,1,3,2,5,1786333826.074075688,1786333839.722194466,W1,1,1,3,0,3,1,1,3,0,3,5,0,6,0,1
B_oracle,9,4,1,3,2,6,1786333839.736511636,1786333853.413947206,W1,1,1,3,0,3,1,1,3,0,3,6,0,9,0,1
B_oracle,9,4,1,3,2,7,1786333853.426722100,1786333866.982662538,W1,1,1,3,0,3,1,1,3,0,3,9,0,6,0,1
B_oracle,9,4,1,3,2,8,1786333866.987247130,1786333880.588795079,W1,1,1,3,0,3,1,1,3,0,3,6,0,8,0,1
B_oracle,9,4,1,3,2,9,1786333880.601591648,1786333894.144506450,W1,1,1,3,0,3,1,1,3,0,3,8,0,4,0,1
B_oracle,9,4,1,3,2,10,1786333894.156123425,1786333907.775582722,W1,1,1,3,0,3,1,1,3,0,3,4,0,2,0,1
C_predictor,9,4,1,3,2,1,1786333915.158401749,1786333928.770964531,W1,1,1,3,0,3,1,1,3,0,3,2,0,9,0,1
