condition,election,prev_leader,paused,new_leader,target_won,live,advisors_alive,bt
pgd_rho_0.3,31,7,7,1,0,1,7,"[2]"
pgd_rho_0.3,32,1,1,4,0,1,7,"[5,1]"
pgd_rho_0.3,33,4,4,1,0,1,7,"[]"
pgd_rho_0.3,34,1,1,5,0,1,7,"[3]"
pgd_rho_0.3,35,5,5,6,0,1,7,"[2,1]"
pgd_rho_0.3,36,6,6,3,1,1,7,"[4,3]"
pgd_rho_0.3,37,3,3,7,0,1,7,"[5]"
pgd_rho_0.3,38,7,7,1,0,1,7,"[]"
pgd_rho_0.3,39,1,1,2,0,1,7,"[]"
pgd_rho_0.3,40,2,2,6,0,1,7,"[]"
pgd_rho_0.6,1,6,6,5,0,1,7,"[]"
pgd_rho_0.6,2,5,5,6,0,1,7,"[1]"
pgd_rho_0.6,3,6,6,5,0,1,7,"[3]"
pgd_rho_0.6,4,5,5,1,0,1,7,"[]"
pgd_rho_0.6,5,1,1,6,0,1,7,"[6,3]"
pgd_rho_0.6,6,6,6,4,0,1,7,"[3]"
pgd_rho_0.6,7,4,4,1,0,1,7,"[3]"
pgd_rho_0.6,8,1,1,2,0,1,7,"[]"
pgd_rho_0.6,9,2,2,4,0,1,7,"[4]"
pgd_rho_0.6,10,4,4,2,0,1,7,"[]"
pgd_rho_0.6,11,2,2,7,0,1,7,"[2]"
pgd_rho_0.6,12,7,7,4,0,1,7,"[3]"
pgd_rho_0.6,13,4,4,7,0,1,7,"[]"
pgd_rho_0.6,14,7,7,1,0,1,7,"[3]"
pgd_rho_0.6,15,1,1,2,0,1,7,"[2]"
pgd_rho_0.6,16,2,2,6,0,1,7,"[3]"
pgd_rho_0.6,17,6,6,2,0,1,7,"[6]"
pgd_rho_0.6,18,2,2,5,0,1,7,"[3]"
pgd_rho_0.6,19,5,5,4,0,1,7,"[]"
pgd_rho_0.6,20,4,4,3,1,1,7,"[3]"
pgd_rho_0.6,21,3,3,4,0,1,7,"[]"
pgd_rho_0.6,22,4,4,6,0,1,7,"[3]"
pgd_rho_0.6,23,6,6,5,0,1,7,"[5]"
pgd_rho_0.6,24,5,5,4,0,1,7,"[3]"
pgd_rho_0.6,25,4,4,5,0,1,7,"[6,2]"
pgd_rho_0.6,26,5,5,4,0,1,7,"[3,1]"
pgd_rho_0.6,27,4,4,6,0,1,7,"[1]"
pgd_rho_0.6,28,6,6,3,1,1,7,"[3,6]"
pgd_rho_0.6,29,3,3,2,0,1,7,"[2]"
pgd_rho_0.6,30,2,2,7,0,1,7,"[]"
pgd_rho_0.6,31,7,7,2,0,1,7,"[5,4]"
pgd_rho_0.6,32,2,2,1,0,1,7,"[4]"
pgd_rho_0.6,33,1,1,3,1,1,7,"[3,2]"
pgd_rho_0.6,34,3,3,4,0,1,7,"[]"
pgd_rho_0.6,35,4,4,6,0,1,7,"[]"
pgd_rho_0.6,36,6,6,2,0,1,7,"[5]"
pgd_rho_0.6,37,2,2,3,1,1,7,"[3]"
pgd_rho_0.6,38,3,3,1,0,1,7,"[1,5]"
pgd_rho_0.6,39,1,1,4,0,1,7,"[3,5]"
pgd_rho_0.6,40,4,4,7,0,1,7,"[4]"
pgd_rho_0.8,1,7,7,6,0,1,7,"[]"
pgd_rho_0.8,2,6,6,1,0,1,7,"[3,6]"
pgd_rho_0.8,3,1,1,2,0,1,7,"[]"
pgd_rho_0.8,4,2,2,3,1,1,7,"[3,2]"
pgd_rho_0.8,5,3,3,6,0,1,7,"[]"
pgd_rho_0.8,6,6,6,2,0,1,7,"[]"
pgd_rho_0.8,7,2,2,4,0,1,7,"[3]"
pgd_rho_0.8,8,4,4,7,0,1,7,"[3]"
pgd_rho_0.8,9,7,7,1,0,1,7,"[]"
pgd_rho_0.8,10,1,1,2,0,1,7,"[]"
pgd_rho_0.8,11,2,2,1,0,1,7,"[3]"
pgd_rho_0.8,12,1,1,7,0,1,7,"[3]"
pgd_rho_0.8,13,7,7,4,0,1,7,"[3,1]"
pgd_rho_0.8,14,4,4,7,0,1,7,"[3]"
pgd_rho_0.8,15,7,7,4,0,1,7,"[3]"
pgd_rho_0.8,16,4,4,2,0,1,7,"[3]"
pgd_rho_0.8,17,2,2,7,0,1,7,"[3]"
pgd_rho_0.8,18,7,7,4,0,1,7,"[]"
pgd_rho_0.8,19,4,4,6,0,1,7,"[6]"
pgd_rho_0.8,20,6,6,7,0,1,7,"[]"
pgd_rho_0.8,21,7,7,2,0,1,7,"[3]"
pgd_rho_0.8,22,2,2,1,0,1,7,"[]"
pgd_rho_0.8,23,1,1,2,0,1,7,"[3]"
pgd_rho_0.8,24,2,2,7,0,1,7,"[]"
pgd_rho_0.8,25,7,7,3,1,1,7,"[3,2]"
pgd_rho_0.8,26,3,3,5,0,1,7,"[6]"
pgd_rho_0.8,27,5,5,2,0,1,7,"[]"
pgd_rho_0.8,28,2,2,5,0,1,7,"[3]"
pgd_rho_0.8,29,5,5,2,0,1,7,"[4,3]"
pgd_rho_0.8,30,2,2,4,0,1,7,"[3]"
pgd_rho_0.8,31,4,4,2,0,1,7,""
pgd_rho_0.8,32,2,2,7,0,1,7,"[3]"
pgd_rho_0.8,33,7,7,1,0,1,7,"[3,2]"
pgd_rho_0.8,34,1,1,4,0,1,7,"[3,6]"
pgd_rho_0.8,35,4,4,7,0,1,7,"[]"
pgd_rho_0.8,36,7,7,5,0,1,7,"[3,4]"
pgd_rho_0.8,37,5,5,7,0,1,7,"[3,5]"
pgd_rho_0.8,38,7,7,2,0,1,7,"[3]"
pgd_rho_0.8,39,2,2,5,0,1,7,"[3]"
pgd_rho_0.8,40,5,5,6,0,1,7,"[4]"
attack_class_ar1,1,6,6,2,0,1,7,"[3]"
attack_class_ar1,2,2,2,5,0,1,7,"[3,5]"
attack_class_ar1,3,5,5,2,0,1,7,"[3]"
attack_class_ar1,4,2,2,7,0,1,7,"[3,4]"
attack_class_ar1,5,7,7,6,0,1,7,"[]"
attack_class_ar1,6,6,6,5,0,1,7,"[3]"
attack_class_ar1,7,5,5,7,0,1,7,"[3]"
attack_class_ar1,8,7,7,2,0,1,7,"[3,1]"
attack_class_ar1,9,2,2,6,0,1,7,"[3,2]"
attack_class_ar1,10,6,6,5,0,1,7,"[3]"
attack_class_ar1,11,5,5,2,0,1,7,"[3,4]"
attack_class_ar1,12,2,2,7,0,1,7,"[3]"
