arm,elec,leader_before,leader_after,target_won,height_before,height_after
vanilla,1,3,1,0,4,4
vanilla,2,1,7,0,4,4
vanilla,3,7,3,1,4,4
vanilla,4,3,6,0,4,4
vanilla,5,6,5,0,4,4
vanilla,6,5,3,1,4,4
vanilla,7,3,7,0,4,4
vanilla,8,7,5,0,4,4
vanilla,9,5,3,1,4,4
vanilla,10,3,2,0,4,4
guarded,1,2,6,0,4,4
guarded,2,6,1,0,4,4
guarded,3,1,4,0,4,4
guarded,4,4,2,0,4,4
guarded,5,2,6,0,4,4
guarded,6,6,2,0,4,4
guarded,7,2,5,0,4,4
guarded,8,5,2,0,4,4
guarded,9,2,7,0,4,4
guarded,10,7,2,0,4,4
