6,1,1781077279838,1781077280371,533,OK
6,2,1781077280394,1781077280701,307,OK
6,3,1781077280740,1781077281047,307,OK
6,4,1781077281058,1781077281302,244,OK
6,5,1781077281324,1781077281608,284,OK
6,6,1781077281627,1781077281914,287,OK
6,7,1781077281931,1781077282326,395,OK
6,8,1781077282345,1781077282717,372,OK
6,9,1781077282745,1781077283063,318,OK
6,10,1781077283084,1781077283351,267,OK
6,11,1781077283375,1781077283772,397,OK
6,12,1781077283792,1781077284074,282,OK
6,13,1781077284100,1781077284444,344,OK
6,14,1781077284461,1781077284821,360,OK
6,15,1781077284850,1781077285221,371,OK
