rho,seed,empirical_gap,theoretical_gap,mse_bayes,mse_memoryless
0.0,0,0.0,0.0,0.9908340867523029,0.9908340867523029
0.0,1,0.0,0.0,1.001534493995344,1.001534493995344
0.0,2,0.0,0.0,1.0027967024949218,1.0027967024949218
0.0,3,0.0,0.0,1.0102986668711997,1.0102986668711997
0.0,4,0.0,0.0,0.9835689372718823,0.9835689372718823
0.0,5,0.0,0.0,1.0146732723094687,1.0146732723094687
0.0,6,0.0,0.0,1.0027058219651033,1.0027058219651033
0.0,7,0.0,0.0,0.9881379855592608,0.9881379855592608
0.0,8,0.0,0.0,1.0154684584303053,1.0154684584303053
0.0,9,0.0,0.0,1.028853243400904,1.028853243400904
0.0,10,0.0,0.0,0.989622412594294,0.989622412594294
0.0,11,0.0,0.0,0.9995226943700966,0.9995226943700966
0.0,12,0.0,0.0,0.9917774575089993,0.9917774575089993
0.0,13,0.0,0.0,1.01128360172646,1.01128360172646
0.0,14,0.0,0.0,0.9922734181672226,0.9922734181672226
0.0,15,0.0,0.0,0.9999486669134531,0.9999486669134531
0.0,16,0.0,0.0,0.9972239352726435,0.9972239352726435
0.0,17,0.0,0.0,1.0026147088230641,1.0026147088230641
0.0,18,0.0,0.0,1.0289653830234704,1.0289653830234704
0.0,19,0.0,0.0,0.987121200438184,0.987121200438184
0.0,20,0.0,0.0,1.0032969295696255,1.0032969295696255
0.0,21,0.0,0.0,0.9739830338054617,0.9739830338054617
0.0,22,0.0,0.0,0.9968013178700792,0.9968013178700792
0.0,23,0.0,0.0,1.005130624182638,1.005130624182638
0.0,24,0.0,0.0,0.9851607582909298,0.9851607582909298
0.0,25,0.0,0.0,1.0301948574553323,1.0301948574553323
0.0,26,0.0,0.0,0.9991280532496956,0.9991280532496956
0.0,27,0.0,0.0,0.9938110815344946,0.9938110815344946
0.0,28,0.0,0.0,1.0009821793182854,1.0009821793182854
0.0,29,0.0,0.0,1.0144754151621604,1.0144754151621604
0.1,0,0.00937878777986656,0.010101010101010104,0.9908340867523029,1.0002128745321694
0.1,1,0.00881149134424053,0.010101010101010104,1.001534493995344,1.0103459853395846
0.1,2,0.006116723161871063,0.010101010101010104,1.0027967024949218,1.0089134256567929
0.1,3,0.012481889181235939,0.010101010101010104,1.0102986668711997,1.0227805560524357
0.1,4,0.00681164474691609,0.010101010101010104,0.9835689372718822,0.9903805820187983
0.1,5,0.014566277280223972,0.010101010101010104,1.0146732723094687,1.0292395495896927
0.1,6,0.009908208456738121,0.010101010101010104,1.0027058219651033,1.0126140304218414
0.1,7,0.01224754378348114,0.010101010101010104,0.9881379855592608,1.000385529342742
0.1,8,0.004193191033565302,0.010101010101010104,1.0154684584303053,1.0196616494638706
0.1,9,0.011417367922168076,0.010101010101010104,1.028853243400904,1.040270611323072
0.1,10,0.008657210134309867,0.010101010101010104,0.989622412594294,0.9982796227286038
0.1,11,0.011987520000984686,0.010101010101010104,0.9995226943700966,1.0115102143710812
0.1,12,0.011039095619512551,0.010101010101010104,0.9917774575089993,1.0028165531285118
0.1,13,0.013635416436498682,0.010101010101010104,1.01128360172646,1.0249190181629586
0.1,14,0.007746250293163337,0.010101010101010104,0.9922734181672226,1.000019668460386
0.1,15,0.011241483830881083,0.010101010101010104,0.9999486669134531,1.0111901507443342
0.1,16,0.010967711729100493,0.010101010101010104,0.9972239352726435,1.008191647001744
0.1,17,0.010116063611709247,0.010101010101010104,1.0026147088230641,1.0127307724347734
0.1,18,0.011352208418137222,0.010101010101010104,1.0289653830234702,1.0403175914416074
0.1,19,0.011475377364689843,0.010101010101010104,0.987121200438184,0.9985965778028738
0.1,20,0.013269679790295585,0.010101010101010104,1.0032969295696255,1.016566609359921
0.1,21,0.014735194183888245,0.010101010101010104,0.9739830338054617,0.9887182279893499
0.1,22,0.007725271864254424,0.010101010101010104,0.9968013178700792,1.0045265897343336
0.1,23,0.016836042977849797,0.010101010101010104,1.005130624182638,1.021966667160488
0.1,24,0.010038483249663943,0.010101010101010104,0.9851607582909298,0.9951992415405937
0.1,25,0.006892991316462593,0.010101010101010104,1.0301948574553323,1.037087848771795
0.1,26,0.004237334178028407,0.010101010101010104,0.9991280532496956,1.003365387427724
0.1,27,0.011992108299559212,0.010101010101010104,0.9938110815344946,1.0058031898340538
0.1,28,0.011124543955250088,0.010101010101010104,1.0009821793182854,1.0121067232735355
0.1,29,0.008256030598140507,0.010101010101010104,1.0144754151621604,1.022731445760301
0.2,0,0.04025362707692337,0.04166666666666668,0.9908340867523029,1.0310877138292263
0.2,1,0.0390646046044536,0.04166666666666668,1.001534493995344,1.0405990985997977
0.2,2,0.033451567555700557,0.04166666666666668,1.0027967024949218,1.0362482700506224
0.2,3,0.04659588084312016,0.04166666666666668,1.0102986668711997,1.05689454771432
