k_match,seed,mi_linear,mi_memory
1,0,0.0233143806876882,0.06874104978317115
1,1,0.022678788866278138,0.10360628839979796
1,2,0.02685680190530184,0.03983900763667102
1,3,0.01937284594351674,0.06732378738208042
1,4,0.023668280568645242,0.03680642071684971
1,5,0.021081060288194405,0.10067567884949258
1,6,0.029610934544359667,0.03983900763667102
1,7,0.023201098256895748,0.07020635455832384
1,8,0.021620255175429162,0.06462336128719295
1,9,0.023506682769340884,0.05760389324890003
1,10,0.021058461067530083,0.027626393816764926
1,11,0.023992671637493412,0.06794795987028152
1,12,0.02360843049873509,0.0414377808791358
1,13,0.025657445173448375,0.06732378738208042
1,14,0.025651297134239918,0.0673237873820804
1,15,0.028057266827965412,0.07492232051654407
1,16,0.020610300611659187,0.0430970051170011
1,17,0.025484845121152823,0.038296433362846743
1,18,0.02363149555572191,0.10514886267362222
1,19,0.024737645666434372,0.0679479598702815
1,20,0.025736183288167132,0.07329332177637901
1,21,0.027840390766975615,0.05995366385758957
1,22,0.02557910943380542,0.07329332177637901
1,23,0.03575249985087327,0.0717226480182345
1,24,0.022342975791968568,0.03536582381254137
1,25,0.023317217972599204,0.031314648608711096
1,26,0.026437779173692874,0.06462336128719293
1,27,0.026797824263897735,0.10214098362464528
1,28,0.0329306217045056,0.07020635455832384
1,29,0.024747110207333087,0.06874104978317114
2,0,0.002707859860435391,0.07329332177637901
2,1,0.0032976156428865923,0.13126183997712274
2,2,0.004691925821090599,0.07172264801823448
2,3,0.0040653502865530275,0.07661428776524166
2,4,0.004089922376467676,0.038296433362846743
2,5,0.002521071316622659,0.07661428776524166
2,6,0.003210391370687238,0.038296433362846743
2,7,0.0038695970010110547,0.07492232051654407
2,8,0.0027637963335891314,0.03536582381254137
2,9,0.0021637421163175907,0.06333588748945082
2,10,0.00304641920091348,0.03004727133323931
2,11,0.003218699166007238,0.038296433362846743
2,12,0.0030653490557649267,0.03983900763667102
2,13,0.0024396066477115896,0.14192414280219287
2,14,0.0031377770906955544,0.038296433362846743
2,15,0.0034024281994580467,0.07492232051654407
2,16,0.0018430401764037818,0.033971895914668246
2,17,0.003459870711880569,0.03680642071684971
2,18,0.0034773905325276755,0.10603915179913151
2,19,0.002404607020596422,0.07329332177637901
2,20,0.0019579868453280355,0.07492232051654407
2,21,0.0030403975658569895,0.05970309439891307
2,22,0.0046987105120783815,0.03536582381254137
2,23,0.002726311012186228,0.06943954545934783
2,24,0.0025729885125016787,0.03536582381254137
2,25,0.002055902773633589,0.033971895914668246
2,26,0.0026170402374328834,0.09928175095161945
2,27,0.0024766108351703792,0.10069901335271023
2,28,0.004349059298029246,0.07020635455832384
2,29,0.001806712236905172,0.044821715376531
3,0,0.002707859860435391,0.07329332177637901
3,1,0.0032976156428865923,0.13126183997712274
3,2,0.004691925821090599,0.07172264801823448
3,3,0.0040653502865530275,0.07661428776524166
3,4,0.004089922376467676,0.038296433362846743
3,5,0.002521071316622659,0.07661428776524166
3,6,0.003210391370687238,0.038296433362846743
3,7,0.0038695970010110547,0.07492232051654407
3,8,0.0027637963335891314,0.03536582381254137
3,9,0.0021637421163175907,0.06333588748945082
3,10,0.00304641920091348,0.03004727133323931
3,11,0.003218699166007238,0.038296433362846743
3,12,0.0030653490557649267,0.03983900763667102
3,13,0.0024396066477115896,0.14192414280219287
3,14,0.0031377770906955544,0.038296433362846743
3,15,0.0034024281994580467,0.07492232051654407
3,16,0.0018430401764037818,0.033971895914668246
3,17,0.003459870711880569,0.03680642071684971
3,18,0.0034773905325276755,0.10603915179913151
3,19,0.002404607020596422,0.07329332177637901
3,20,0.0019579868453280355,0.07492232051654407
3,21,0.0030403975658569895,0.05970309439891307
3,22,0.0046987105120783815,0.03536582381254137
3,23,0.002726311012186228,0.06943954545934783
3,24,0.0025729885125016787,0.03536582381254137
3,25,0.002055902773633589,0.033971895914668246
3,26,0.0026170402374328834,0.09928175095161945
3,27,0.0024766108351703792,0.10069901335271023
3,28,0.004349059298029246,0.07020635455832384
3,29,0.001806712236905172,0.044821715376531
4,0,0.002707859860435391,0.07329332177637901
4,1,0.0032976156428865923,0.13126183997712274
4,2,0.004691925821090599,0.07172264801823448
4,3,0.0040653502865530275,0.07661428776524166
4,4,0.004089922376467676,0.038296433362846743
4,5,0.002521071316622659,0.07661428776524166
4,6,0.003210391370687238,0.038296433362846743
4,7,0.0038695970010110547,0.07492232051654407
4,8,0.0027637963335891314,0.03536582381254137
4,9,0.0021637421163175907,0.06333588748945082
4,10,0.00304641920091348,0.03004727133323931
4,11,0.003218699166007238,0.038296433362846743
4,12,0.0030653490557649267,0.03983900763667102
4,13,0.0024396066477115896,0.14192414280219287
4,14,0.0031377770906955544,0.038296433362846743
4,15,0.0034024281994580467,0.07492232051654407
4,16,0.0018430401764037818,0.033971895914668246
4,17,0.003459870711880569,0.03680642071684971
4,18,0.0034773905325276755,0.10603915179913151
4,19,0.002404607020596422,0.07329332177637901
4,20,0.0019579868453280355,0.07492232051654407
4,21,0.0030403975658569895,0.05970309439891307
4,22,0.0046987105120783815,0.03536582381254137
4,23,0.002726311012186228,0.06943954545934783
4,24,0.0025729885125016787,0.03536582381254137
4,25,0.002055902773633589,0.033971895914668246
4,26,0.0026170402374328834,0.09928175095161945
4,27,0.0024766108351703792,0.10069901335271023
4,28,0.004349059298029246,0.07020635455832384
4,29,0.001806712236905172,0.044821715376531
