idx,leader_before,leader_after,fp_node,live,time_to_leader_s,fp_delivered,advice_seen_on
1,7,4,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
2,4,6,4,1,4,1,n1:{"blacklist":[3;4];"seq":1;"fail_open":false}
3,6,1,6,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
4,1,4,-,1,4,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
5,4,1,4,1,4,1,n1:{"blacklist":[3;4];"seq":1;"fail_open":false}
6,1,6,1,1,4,1,n2:{"blacklist":[1;3];"seq":1;"fail_open":false}
7,6,7,6,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
8,7,5,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
9,5,6,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
10,6,1,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
