delegation_frac,seed,mean_cost,stake_gini
0.0,0,0.12101660211497471,0.09917502341942978
0.0,1,0.11101604582602777,0.12080900278292114
0.0,2,0.10333786952435345,0.0711651845536769
0.0,3,0.10762804366967302,0.09368577102265206
0.0,4,0.09489098770223595,0.07606734966602123
0.2,0,0.11071249153294332,0.07603111126409984
0.2,1,0.130408446278416,0.09697708567941607
0.2,2,0.11979543675835336,0.0994079618215886
0.2,3,0.11554661877602482,0.15628584561798692
0.2,4,0.11005929922810201,0.08004456731188521
0.5,0,0.132698305116979,0.11117289899293581
0.5,1,0.10085446982257779,0.08275168714537888
0.5,2,0.11620300108900433,0.09508414236190892
0.5,3,0.1297818619267507,0.10022174702477962
0.5,4,0.15308304114185006,0.1256889467490843
0.8,0,0.15571671699678888,0.11510784311437362
0.8,1,0.14373001673395017,0.11510719594346627
0.8,2,0.11896070992262243,0.10205581304610792
0.8,3,0.13649840861292992,0.1179059838192654
0.8,4,0.1555752686022203,0.1282271629701231
