N,k,n_rounds,scheduler_mean_us,scheduler_p99_us,memory_MB,rounds_per_second
11,3,100,174.43099999999998,325.51300000000026,0.09915733337402344,5732.9259133984215
21,6,100,182.62400000000002,288.34900000000016,0.13237285614013672,5475.731557736113
50,15,100,224.497,356.0600000000002,0.2866067886352539,4454.402508719494
100,30,100,305.427,453.4930000000045,0.5526485443115234,3274.104777901101
250,75,100,529.072,816.0200000000013,1.341552734375,1890.1019142952184
500,150,100,895.893,1310.815000000004,2.6625776290893555,1116.2047253410838
1000,300,100,1550.3490000000002,2126.1910000000025,5.302436828613281,645.0160576747559
