trace,n_samples,window,K,n_windows,tau_mean,tau_median,tau_p95,tau_min,tau_max,frac_exceed_0.01,frac_exceed_0.1,frac_exceed_0.5,frac_exceed_1.0,exploitable
v3_J1_jitter,64,8,1,45,1.5628070979719741,2.2438346139123144,2.3304779912987628,0.0,2.330477991298763,0.8888888888888888,0.8,0.6666666666666666,0.6666666666666666,True
v3_J1_jitter,64,8,5,41,7.069364603894413,7.164720746619858,11.515063460012533,0.3253361844354651,11.565746597058041,1.0,1.0,0.975609756097561,0.975609756097561,True
v3_J1_jitter,64,8,10,36,11.50270231326405,11.937661711171785,17.372504088903785,2.9157443258442495,19.163684302700528,1.0,1.0,1.0,1.0,True
phase_A_leader,96,12,1,73,0.5788198088910215,0.10136625666682196,1.5198632361992692,0.0,1.5198632361992697,0.821917808219178,0.547945205479452,0.3698630136986301,0.3698630136986301,True
phase_A_leader,96,12,5,69,3.1162995075136366,3.0397264901368986,6.063974415678009,0.231049018475244,6.194977471773059,1.0,1.0,0.9130434782608695,0.9130434782608695,True
phase_A_leader,96,12,10,64,6.27399996356973,6.1281127278108425,12.067750064160089,1.5100480010904365,12.66460800783379,1.0,1.0,1.0,1.0,True
