seed,tau,alpha
98,0.3,2.767201910595583
98,0.5,3.4066104613922885
98,0.8,3.8917525428332853
98,1.0,4.4211362915627985
99,0.0,1.8516060305673627
99,0.05,1.8754656935589105
99,0.1,1.918489727539587
99,0.2,2.1677507987319506
99,0.3,2.6654188418129756
99,0.5,3.4293950378928106
99,0.8,3.99348040486698
99,1.0,4.552765447241482
