mode,seed,mean_cost,p99_cost
smooth,0,0.1694414251700111,0.8357828537478028
smooth,1,0.1642108138366723,0.7932734646094503
smooth,2,0.16844153205677273,0.8048806208756695
smooth,3,0.16425041735496007,0.7979099267944566
smooth,4,0.16837476510779606,0.8266806912825462
abrupt,0,0.29349007014710005,1.8371773293544156
abrupt,1,0.28994754009462165,1.9845018019466811
abrupt,2,0.27590135105743874,1.7631199909251232
abrupt,3,0.2708595875155271,1.7105634056409078
abrupt,4,0.28708756884193526,1.8524324682181086
oscillating,0,0.154209192597031,0.9117022268336937
oscillating,1,0.15469494249078092,0.87395906388321
oscillating,2,0.1576454908119767,1.0534949947136367
oscillating,3,0.14874835362186759,0.9138155631780914
oscillating,4,0.1520596673758591,1.0623727306745503
