regime,alpha,N,baseline_mean,baseline_CI,is_raft_perfect_mean,is_raft_perfect_CI,is_raft_mock_mean,is_raft_mock_CI,gap_perfect,gap_mock,wilcoxon_p_perfect,cohen_d_perfect,wilcoxon_p_mock,cohen_d_mock,sig_holm_perfect,sig_holm_mock
stationary,0.8,11,1.7254031442312152,"[1.598, 1.871]",1.7140509572559433,"[1.614, 1.842]",1.721090498267666,"[1.593, 1.865]",1.006623016035326,1.0025057636236385,0.3456162475279041,0.006004386510026445,0.31731050786291415,0.04472135954999578,False,False
stationary,1.0,11,1.4492255307488842,"[1.397, 1.504]",1.4906826650358838,"[1.419, 1.570]",1.449480275162572,"[1.397, 1.504]",0.9721891618790632,0.9998242512036535,0.7944239482885174,-0.04333374524035923,0.31731050786291415,-0.04472135954999578,False,False
stationary,1.2,11,1.418253727726021,"[1.369, 1.469]",1.3691648136137264,"[1.328, 1.412]",1.418231309586871,"[1.369, 1.469]",1.0358531811686944,1.000015807110588,0.14311340136080375,0.06816451528544805,0.31731050786291415,0.04472135954999578,False,False
stationary,1.5,11,1.2724014927080503,"[1.244, 1.304]",1.2939831169103517,"[1.263, 1.326]",1.2749399944588757,"[1.246, 1.307]",0.9833215565796314,0.9980089245283242,0.5422192432929318,-0.04393141103593236,0.31731050786291415,-0.0447213595499958,False,False
stationary,2.0,11,1.2013759664418857,"[1.182, 1.223]",1.1810679626144103,"[1.164, 1.199]",1.2015768253024597,"[1.182, 1.223]",1.0171946107000664,0.9998328372715383,0.2773890245501305,0.06742438215178034,0.31731050786291415,-0.04472135954999576,False,False
stationary,3.0,11,1.1188057580174924,"[1.107, 1.129]",1.1158140328773478,"[1.105, 1.126]",1.1188127972084279,"[1.107, 1.129]",1.0026812040823951,0.9999937083389169,0.449583690416963,0.017955869068493762,0.31731050786291415,-0.04472135954999577,False,False
nonstationary,0.8,11,1.9122779549028284,"[1.760, 2.114]",1.7195940460528616,"[1.600, 1.878]",1.917156836479453,"[1.761, 2.121]",1.112051974878752,0.9974551473912882,0.010176464022419354,0.08554896051249129,0.31731050786291415,-0.044721359549995794,False,False
nonstationary,1.0,11,1.7475667232490242,"[1.621, 1.912]",1.5826797693818848,"[1.488, 1.686]",1.7460262307255694,"[1.621, 1.911]",1.1041821327706336,1.0008822848685468,0.025613712431616396,0.08653523779156486,0.31731050786291415,0.04472135954999578,False,False
nonstationary,1.2,11,1.4623246384724373,"[1.402, 1.532]",1.3425014933063815,"[1.302, 1.385]",1.4704693788707237,"[1.408, 1.543]",1.0892536401363317,0.9944611288644846,0.004092183710889752,0.1695382020546099,0.31731050786291415,-0.04472135954999578,False,False
nonstationary,1.5,11,1.3934296508563364,"[1.332, 1.465]",1.2830970316409687,"[1.252, 1.316]",1.3967953687400272,"[1.333, 1.468]",1.0859893028310275,0.9975904001695489,0.014613784218063494,0.14306872008948682,0.31731050786291415,-0.0447213595499958,False,False
nonstationary,2.0,11,1.2498191514289916,"[1.215, 1.292]",1.1963029558522162,"[1.177, 1.217]",1.2488179217363504,"[1.214, 1.291]",1.0447346512979663,1.0008017419314812,0.06051304211543741,0.12430290345950175,0.31731050786291415,0.04472135954999579,False,False
nonstationary,3.0,11,1.2414700601477817,"[1.185, 1.305]",1.1211215780853714,"[1.110, 1.133]",1.2407067320425635,"[1.184, 1.304]",1.1073465040856132,1.0006152365305228,0.00045781907791612764,0.17419129031316385,0.31731050786291415,0.044721359549995794,True,False
