transition_mode,seed,transition_phase_mean,transition_phase_max
abrupt,0,0.9253847003027973,15.773290712856484
abrupt,1,0.769317368090993,9.13009378368174
abrupt,2,0.7610310880975085,9.546780716599276
abrupt,3,0.7149578991438298,10.149849444872356
abrupt,4,0.8451169564589904,9.054087611799345
gradual_100,0,0.7237146874868994,9.749400972132115
gradual_100,1,0.6742558389491949,6.857523782261308
gradual_100,2,0.8389949900546821,18.67655801117259
gradual_100,3,0.8597093897052713,7.084156009487797
gradual_100,4,0.7526347469141931,11.822868216618392
gradual_200,0,0.9170276075435012,15.93879033039126
gradual_200,1,0.797833186793152,9.768485759165205
gradual_200,2,0.6419345139243788,5.978249968220757
gradual_200,3,0.6169035718197597,5.267625414365771
gradual_200,4,0.7899162648888921,12.803441309591852
