trial,edf_miss_rate,psr_miss_rate
317,0.19,0.0
318,0.16,0.0
319,0.045,0.01
320,0.16,0.0
321,0.005,0.0
322,0.125,0.0
323,0.0,0.0
324,0.155,0.0
325,0.09,0.01
326,0.06,0.005
327,0.09,0.0
328,0.005,0.005
329,0.1,0.0
330,0.11,0.0
331,0.095,0.0
332,0.15,0.01
333,0.23,0.0
334,0.2,0.0
335,0.115,0.0
336,0.17,0.005
337,0.185,0.005
338,0.02,0.005
339,0.185,0.0
340,0.065,0.0
341,0.12,0.0
342,0.055,0.0
343,0.095,0.005
344,0.04,0.0
345,0.065,0.0
346,0.04,0.0
347,0.165,0.0
348,0.105,0.005
349,0.08,0.0
350,0.105,0.005
351,0.09,0.0
352,0.205,0.0
353,0.195,0.0
354,0.1,0.0
355,0.02,0.005
356,0.015,0.005
357,0.18,0.0
358,0.255,0.005
359,0.05,0.0
360,0.125,0.005
361,0.035,0.0
362,0.24,0.005
363,0.03,0.0
364,0.145,0.005
365,0.155,0.02
366,0.03,0.0
367,0.035,0.0
368,0.105,0.0
369,0.06,0.005
370,0.04,0.01
371,0.12,0.0
372,0.02,0.0
373,0.13,0.005
374,0.12,0.005
375,0.145,0.0
376,0.185,0.005
377,0.205,0.005
378,0.25,0.0
379,0.125,0.0
380,0.06,0.0
381,0.23,0.0
382,0.14,0.005
383,0.11,0.01
384,0.155,0.0
385,0.11,0.0
386,0.15,0.005
387,0.04,0.0
388,0.08,0.0
389,0.09,0.0
390,0.25,0.0
391,0.035,0.0
392,0.01,0.0
393,0.05,0.0
394,0.05,0.01
395,0.12,0.0
396,0.215,0.0
397,0.095,0.0
398,0.075,0.0
399,0.185,0.0
400,0.145,0.015
401,0.16,0.005
402,0.09,0.0
403,0.025,0.0
404,0.135,0.0
405,0.135,0.02
406,0.06,0.0
407,0.06,0.0
408,0.085,0.0
409,0.12,0.0
410,0.08,0.0
411,0.035,0.0
412,0.065,0.005
413,0.2,0.0
414,0.11,0.005
415,0.135,0.005
416,0.16,0.005
417,0.08,0.0
418,0.05,0.005
419,0.01,0.0
420,0.08,0.0
421,0.08,0.005
422,0.035,0.0
423,0.1,0.0
424,0.025,0.005
425,0.37,0.01
426,0.055,0.0
427,0.035,0.0
428,0.135,0.005
429,0.04,0.015
430,0.205,0.0
431,0.22,0.0
432,0.04,0.0
433,0.125,0.0
434,0.27,0.0
435,0.065,0.005
436,0.065,0.005
437,0.13,0.0
438,0.1,0.0
439,0.085,0.0
440,0.115,0.005
441,0.13,0.005
442,0.005,0.005
443,0.145,0.0
444,0.095,0.0
445,0.23,0.0
446,0.03,0.005
447,0.095,0.005
448,0.11,0.0
449,0.08,0.01
450,0.04,0.0
451,0.155,0.015
452,0.13,0.0
453,0.2,0.005
454,0.145,0.005
455,0.16,0.0
456,0.055,0.005
457,0.035,0.0
458,0.02,0.0
459,0.065,0.01
460,0.075,0.0
461,0.13,0.0
462,0.185,0.0
463,0.22,0.0
464,0.03,0.005
465,0.05,0.0
466,0.22,0.005
467,0.1,0.0
468,0.055,0.0
469,0.195,0.0
470,0.01,0.0
471,0.105,0.0
472,0.105,0.0
473,0.035,0.015
474,0.125,0.0
475,0.15,0.0
476,0.02,0.005
477,0.06,0.0
478,0.085,0.0
479,0.1,0.0
480,0.215,0.005
481,0.095,0.0
482,0.06,0.005
483,0.165,0.0
484,0.045,0.005
485,0.115,0.0
486,0.075,0.005
487,0.12,0.0
488,0.02,0.0
489,0.175,0.0
490,0.095,0.0
491,0.135,0.0
492,0.21,0.0
493,0.115,0.0
494,0.05,0.0
495,0.085,0.0
496,0.125,0.0
497,0.04,0.005
498,0.055,0.0
499,0.09,0.0
500,0.125,0.0
501,0.1,0.0
502,0.035,0.04
503,0.075,0.0
504,0.03,0.0
505,0.035,0.0
506,0.105,0.0
507,0.105,0.005
508,0.13,0.0
509,0.01,0.005
510,0.08,0.0
511,0.0,0.0
512,0.085,0.02
513,0.15,0.0
514,0.145,0.0
515,0.035,0.005
516,0.01,0.005
517,0.055,0.005
518,0.025,0.0
519,0.125,0.0
520,0.03,0.0
521,0.155,0.0
522,0.205,0.0
523,0.04,0.0
524,0.045,0.0
525,0.04,0.005
526,0.055,0.01
527,0.33,0.0
528,0.11,0.0
529,0.16,0.0
530,0.16,0.005
531,0.22,0.0
532,0.095,0.005
533,0.22,0.0
534,0.065,0.0
535,0.065,0.0
536,0.045,0.0
537,0.215,0.005
538,0.125,0.0
539,0.04,0.0
540,0.045,0.0
541,0.035,0.0
542,0.045,0.015
543,0.1,0.0
544,0.185,0.0
545,0.15,0.0
546,0.075,0.0
547,0.07,0.0
548,0.175,0.0
549,0.155,0.005
550,0.1,0.0
551,0.11,0.005
552,0.065,0.0
553,0.01,0.0
554,0.035,0.0
555,0.215,0.03
556,0.23,0.02
557,0.06,0.0
558,0.3,0.0
559,0.035,0.0
560,0.075,0.0
561,0.08,0.0
562,0.065,0.0
563,0.17,0.005
564,0.09,0.0
565,0.05,0.025
566,0.055,0.0
567,0.05,0.0
568,0.05,0.005
569,0.175,0.0
570,0.12,0.005
571,0.125,0.0
572,0.03,0.0
573,0.02,0.015
574,0.14,0.0
575,0.095,0.0
576,0.095,0.0
577,0.02,0.005
578,0.08,0.0
579,0.045,0.0
580,0.195,0.0
581,0.17,0.0
582,0.125,0.01
583,0.19,0.0
584,0.175,0.0
585,0.075,0.0
586,0.03,0.01
587,0.03,0.0
588,0.055,0.0
589,0.13,0.0
590,0.035,0.0
591,0.095,0.0
592,0.045,0.0
593,0.015,0.005
594,0.04,0.0
595,0.155,0.0
596,0.11,0.0
597,0.035,0.01
598,0.18,0.0
