channel,n_tasks,hc_count,lc_count,hc_miss,lc_miss,hc_miss_rate,lc_miss_rate,p99_latency_ms,n_channels,seed
19,1000,118,882,0,882,0.0,1.0,73.80449685609553,64,0
20,1000,98,902,0,902,0.0,1.0,74.15587514352661,64,0
21,1000,101,899,0,899,0.0,1.0,76.88981045831724,64,0
22,1000,98,902,0,902,0.0,1.0,75.73989571570712,64,0
23,1000,108,892,0,892,0.0,1.0,72.80543804920197,64,0
24,1000,107,893,0,893,0.0,1.0,71.76682614882412,64,0
25,1000,117,883,0,883,0.0,1.0,73.44255057615142,64,0
26,1000,82,918,0,918,0.0,1.0,72.56342575068724,64,0
27,1000,85,915,0,915,0.0,1.0,74.86945657645087,64,0
28,1000,111,889,0,889,0.0,1.0,78.00251458421079,64,0
29,1000,101,899,0,899,0.0,1.0,72.5691674909708,64,0
30,1000,103,897,0,897,0.0,1.0,72.97934997400702,64,0
31,1000,112,888,0,888,0.0,1.0,76.9727773768617,64,0
32,1000,115,885,0,885,0.0,1.0,72.72352425786295,64,0
33,1000,109,891,0,891,0.0,1.0,74.16273615712208,64,0
34,1000,91,909,0,909,0.0,1.0,76.43591096030835,64,0
35,1000,104,896,0,896,0.0,1.0,73.89765256290254,64,0
36,1000,88,912,0,912,0.0,1.0,71.57094870932609,64,0
37,1000,101,899,0,899,0.0,1.0,78.36312500989405,64,0
38,1000,96,904,0,904,0.0,1.0,73.80004385696824,64,0
39,1000,114,886,0,886,0.0,1.0,72.86514474133214,64,0
40,1000,94,906,0,906,0.0,1.0,73.32183606546079,64,0
41,1000,91,909,0,909,0.0,1.0,74.67365315596334,64,0
42,1000,101,899,0,899,0.0,1.0,75.29596219359756,64,0
43,1000,89,911,0,911,0.0,1.0,75.44545530904482,64,0
44,1000,90,910,0,910,0.0,1.0,73.85917384999628,64,0
45,1000,106,894,0,894,0.0,1.0,73.59301607810337,64,0
46,1000,97,903,0,903,0.0,1.0,74.0401543409565,64,0
47,1000,102,898,0,898,0.0,1.0,73.97234349785576,64,0
48,1000,91,909,0,909,0.0,1.0,72.44931170928656,64,0
49,1000,87,913,0,913,0.0,1.0,74.08493500376889,64,0
50,1000,94,906,0,906,0.0,1.0,75.2196276919527,64,0
