architecture,seed,mean_cost,p99_cost
tiny_window_10,0,0.548054288407845,4.9600056994007735
tiny_window_10,1,0.5206666997694325,4.770737557044195
tiny_window_10,2,0.5315106256997438,4.392594474877494
tiny_window_10,3,0.5214097778105096,3.622360025906633
tiny_window_10,4,0.5099903506311164,3.8111072922874607
medium_window_50,0,0.7482175734280744,6.701591460027938
medium_window_50,1,0.7064249318281729,5.943448014926353
medium_window_50,2,0.7698409130252005,6.513940018710058
medium_window_50,3,0.7732835792610012,7.6324838452482116
medium_window_50,4,0.7301187180701226,6.709224248552814
large_window_200,0,0.8333518559405395,6.879910359522154
large_window_200,1,0.856094263111363,7.404392849831597
large_window_200,2,0.829928845095117,6.8163934781575914
large_window_200,3,0.8756078386490797,7.531391974656893
large_window_200,4,0.8337558075684628,7.44934990381244
extra_large_window_500,0,0.8769199716055737,7.850766295366525
extra_large_window_500,1,0.8100938194430902,6.002565816695578
extra_large_window_500,2,0.8251041148587764,6.550769304891847
extra_large_window_500,3,0.8483563821466849,7.426966257818424
extra_large_window_500,4,0.8285172363529655,7.104611063266012
