async_mode,seed,mean_cost,p99_cost,p999_cost
partial_sync,0,0.09247397103191717,0.4495952173060106,0.7343552660039439
partial_sync,1,0.09229074807881152,0.4185930320861566,0.6737902949347662
partial_sync,2,0.0907832847641046,0.41548710756118545,0.6122928045438492
partial_sync,3,0.08976145153465448,0.3957747731069758,0.5280582506248492
partial_sync,4,0.08677514302292715,0.3826976672576313,0.6482985882415497
async_bounded,0,0.1474127098193838,0.3352405891105417,0.4830185689822264
async_bounded,1,0.1490798263351249,0.33766294891800797,0.425042022605991
async_bounded,2,0.14706525190249595,0.3225030302765632,0.47936283201985014
async_bounded,3,0.1485948471277913,0.3199641701977133,0.48133367621491074
async_bounded,4,0.14768917010279436,0.32302296763912003,0.458941908539674
fully_async,0,0.22745442263647833,0.6966577655192314,1.028951695637724
fully_async,1,0.22732698991042968,0.6628012690015362,0.9646997661553212
fully_async,2,0.23820139619080336,0.6697584878521806,0.9741323496884485
fully_async,3,0.23375361131475908,0.640266948192971,0.9822325872082315
fully_async,4,0.23746619107267786,0.6859315124634427,1.046037959983296
