churn_rate,seed,single_oracle_mean,ensemble_oracle_mean,ensemble_improvement_pct
0.0,0,0.3353294741551871,0.32900775161157286,1.8852272260113374
0.0,1,0.34855063550871557,0.33816729255467076,2.979005600976782
0.0,2,0.3237307773647378,0.3397077417739782,-4.935262732600686
0.0,3,0.3385037905996674,0.3436902740770977,-1.5321788474635112
0.0,4,0.3329113226255423,0.3396203308307951,-2.0152538376710916
0.001,0,0.3353294741551871,0.32900775161157286,1.8852272260113374
0.001,1,0.34855063550871557,0.33816729255467076,2.979005600976782
0.001,2,0.3237307773647378,0.3397077417739782,-4.935262732600686
0.001,3,0.3385037905996674,0.3436902740770977,-1.5321788474635112
0.001,4,0.3329113226255423,0.3396203308307951,-2.0152538376710916
0.005,0,0.3353294741551871,0.32900775161157286,1.8852272260113374
0.005,1,0.34855063550871557,0.33816729255467076,2.979005600976782
0.005,2,0.3237307773647378,0.3397077417739782,-4.935262732600686
0.005,3,0.3385037905996674,0.3436902740770977,-1.5321788474635112
0.005,4,0.3329113226255423,0.3396203308307951,-2.0152538376710916
0.01,0,0.3353294741551871,0.32900775161157286,1.8852272260113374
0.01,1,0.34855063550871557,0.33816729255467076,2.979005600976782
0.01,2,0.3237307773647378,0.3397077417739782,-4.935262732600686
0.01,3,0.3385037905996674,0.3436902740770977,-1.5321788474635112
0.01,4,0.3329113226255423,0.3396203308307951,-2.0152538376710916
