M,density,decision,build_time_s,sched_time_s,sched_time_ms,peak_memory_MB,throughput_Mtasks_per_s
10000,0.3,NO,0.05708959999999996,0.0021452000000000693,2.1452000000000693,5.306430816650391,4.661570016781502
100000,0.3,NO,0.6798196000000001,0.023397300000000065,23.397300000000065,55.25088310241699,4.273997427053537
1000000,0.3,NO,13.3479944,0.5352066000000004,535.2066000000004,543.8639125823975,1.8684373473720226
5000000,0.3,NO,73.98541349999999,3.5276143000000104,3527.61430000001,2685.175802230835,1.4173885166527376
