config,trial,scheduler,latency_ms
light_burst,0,MC,296.12426385299796
light_burst,0,MC,467.85600477111086
light_burst,1,MC,258.30822224846094
light_burst,1,MC,389.47877959199496
light_burst,2,MC,362.32845053174236
light_burst,2,MC,397.40138467057926
light_burst,3,MC,371.63049262099435
light_burst,3,MC,451.21587674634435
light_burst,4,MC,311.46031046702126
light_burst,5,MC,255.03580153239193
light_burst,6,MC,366.08972924454355
light_burst,6,MC,405.41954101592205
light_burst,7,MC,359.5935065490945
light_burst,7,MC,401.91879707209387
light_burst,8,MC,456.3748083861858
light_burst,8,MC,384.74086598351056
light_burst,9,MC,501.71863290826036
light_burst,9,MC,437.28339729009224
light_burst,9,MC,331.4630523137474
light_burst,10,MC,448.83614576848527
light_burst,11,MC,387.4444819230298
light_burst,11,MC,525.2764801166236
light_burst,12,MC,457.30173985042023
light_burst,12,MC,424.98579359064513
light_burst,13,MC,441.13699956448204
light_burst,14,MC,315.3776532174053
light_burst,14,MC,395.8056006270114
light_burst,15,MC,363.70778974592713
light_burst,15,MC,384.7877333400547
light_burst,16,MC,421.16683443549084
light_burst,16,MC,252.27640156554986
light_burst,17,MC,372.68992461125447
light_burst,17,MC,513.3641772959479
light_burst,18,MC,258.4425552836311
light_burst,18,MC,417.1377634499649
light_burst,19,MC,453.8377938886171
light_burst,19,MC,299.2739978418495
light_burst,20,MC,358.68804107901565
light_burst,20,MC,320.42823158178726
light_burst,21,MC,387.2870256865211
light_burst,22,MC,278.3791454782678
light_burst,22,MC,524.8546474339104
light_burst,23,MC,281.7525326812005
light_burst,23,MC,404.7237681752716
light_burst,24,MC,391.04161829359185
light_burst,24,MC,195.8563575806096
light_burst,25,MC,348.87938120939486
light_burst,25,MC,395.63252999481335
light_burst,26,MC,373.8066800741526
light_burst,27,MC,471.9293941561684
light_burst,27,MC,464.99850969704323
light_burst,28,MC,333.01372735689495
light_burst,28,MC,423.51335740406523
light_burst,29,MC,215.28218208027727
light_burst,29,MC,476.04987724325554
light_burst,30,MC,309.59862712979367
light_burst,30,MC,270.20842856356796
light_burst,30,MC,388.7996619536622
light_burst,31,MC,372.0138567136306
light_burst,32,MC,345.04984762419963
light_burst,33,MC,318.2903092649152
light_burst,33,MC,308.3464891655972
light_burst,33,MC,425.6016505633173
light_burst,34,MC,414.394371653886
light_burst,34,MC,356.2583125922378
light_burst,35,MC,472.33344904494425
light_burst,36,MC,527.4078974141361
light_burst,36,MC,317.8299818130137
light_burst,37,MC,317.1711495178888
light_burst,37,MC,394.07853888764333
light_burst,38,MC,320.37037790086663
light_burst,38,MC,277.6084463443782
light_burst,39,MC,389.51376700150854
light_burst,40,MC,342.6078200249743
light_burst,40,MC,377.99348330499606
light_burst,41,MC,337.5973016033793
light_burst,41,MC,358.40651839927597
light_burst,42,MC,379.6657126991603
light_burst,43,MC,383.96008162486163
light_burst,43,MC,304.8623087418054
light_burst,44,MC,351.9307914365735
light_burst,45,MC,507.39946258984855
light_burst,45,MC,413.32504432718673
light_burst,46,MC,321.5387857616854
light_burst,47,MC,341.4928142521001
light_burst,47,MC,376.8738465929502
light_burst,48,MC,433.9016083403218
light_burst,48,MC,515.2894871992055
light_burst,48,MC,476.89658173260074
light_burst,49,MC,282.61583779850775
medium_burst,0,MC,340.824505276613
medium_burst,0,MC,323.4318943629262
medium_burst,1,MC,290.6178145161551
medium_burst,1,MC,486.9540227025482
medium_burst,2,MC,283.7660034972487
medium_burst,3,MC,360.2608612488218
medium_burst,3,MC,585.067736663289
medium_burst,4,MC,336.9113263765886
medium_burst,4,MC,414.1888382944199
medium_burst,5,MC,296.28772188280726
medium_burst,5,MC,290.8787008284062
medium_burst,5,MC,442.58863787507255
medium_burst,6,MC,234.1806282508152
medium_burst,6,MC,493.5509533690947
medium_burst,7,MC,271.39543736572415
medium_burst,8,MC,308.98286551096635
medium_burst,8,MC,400.9368832513509
medium_burst,9,MC,345.256873230392
medium_burst,9,MC,400.87839934339087
medium_burst,10,MC,515.2055152692476
medium_burst,10,MC,352.41864579018056
medium_burst,11,MC,342.0842313843
medium_burst,11,MC,66.3299122269283
medium_burst,12,MC,390.5268592481388
medium_burst,12,MC,477.34964031675275
medium_burst,13,MC,375.3024750930738
medium_burst,13,MC,420.27747012059183
medium_burst,14,MC,321.61112122848226
medium_burst,14,MC,543.7448283779513
medium_burst,15,MC,307.54951455023695
medium_burst,16,MC,268.1107781912999
medium_burst,16,MC,355.14600745370296
medium_burst,17,MC,219.8264236195513
medium_burst,17,MC,333.0797772131717
medium_burst,18,MC,161.9378319931748
medium_burst,18,MC,374.398197621959
medium_burst,19,MC,242.2356941169781
medium_burst,20,MC,320.142619311806
medium_burst,20,MC,369.7938985716256
medium_burst,21,MC,443.65919389980314
medium_burst,21,MC,362.81018002013
medium_burst,22,MC,286.23409143968104
medium_burst,22,MC,378.2573630301886
medium_burst,23,MC,226.7377946500595
medium_burst,23,MC,383.4956986753593
medium_burst,24,MC,465.09460734733744
medium_burst,24,MC,500.3996705349749
medium_burst,25,MC,296.73151280323395
medium_burst,25,MC,389.8382295169558
medium_burst,26,MC,464.8005320382307
medium_burst,26,MC,417.90861868361515
medium_burst,27,MC,368.76674649166216
medium_burst,27,MC,424.79401244315795
medium_burst,28,MC,362.7155305794858
medium_burst,28,MC,332.01946368915355
medium_burst,29,MC,374.9814156855411
medium_burst,29,MC,411.1809381323433
medium_burst,29,MC,399.0954229690153
medium_burst,30,MC,377.01630682061807
medium_burst,31,MC,252.56679288638395
medium_burst,31,MC,371.25257425284633
medium_burst,31,MC,514.0212182875139
medium_burst,32,MC,377.4429997535833
medium_burst,32,MC,122.98821159821927
medium_burst,33,MC,462.0616333765142
medium_burst,33,MC,456.73719502324417
medium_burst,34,MC,347.21503526423623
medium_burst,34,MC,193.52588738457575
medium_burst,35,MC,398.9093471922285
medium_burst,35,MC,293.8026639877336
medium_burst,36,MC,418.7888029895355
medium_burst,36,MC,331.21931349140254
medium_burst,36,MC,390.5613087557853
medium_burst,37,MC,316.7062201701452
medium_burst,38,MC,327.73439749988853
medium_burst,38,MC,396.18291948897166
medium_burst,39,MC,287.05308480527947
medium_burst,39,MC,322.0594678116555
medium_burst,40,MC,247.4677946186983
medium_burst,41,MC,381.25479226124526
medium_burst,41,MC,457.45669899968175
medium_burst,42,MC,207.64197981701392
medium_burst,43,MC,324.4077428373
medium_burst,43,MC,374.24466491801843
medium_burst,44,MC,279.3313321731361
medium_burst,44,MC,452.74340796444966
medium_burst,45,MC,363.21783777984075
medium_burst,45,MC,291.7924665196452
medium_burst,46,MC,413.59088837296906
medium_burst,46,MC,363.4563810884863
medium_burst,47,MC,337.921762667305
medium_burst,48,MC,369.7037579475886
medium_burst,49,MC,353.3495240785438
medium_burst,49,MC,382.03379614815344
medium_burst,49,MC,437.88952793228475
heavy_burst,0,MC,323.94558835616397
heavy_burst,0,MC,357.2923697989907
heavy_burst,1,MC,447.90262788647794
heavy_burst,1,MC,373.526934257832
heavy_burst,2,MC,375.19615287735417
heavy_burst,3,MC,424.00864679962956
heavy_burst,3,MC,481.7012618475296
heavy_burst,4,MC,336.9113263765886
heavy_burst,4,MC,443.3047117548234
heavy_burst,5,MC,296.28772188280726
heavy_burst,5,MC,420.7553032933014
heavy_burst,6,MC,234.1806282508152
heavy_burst,6,MC,471.0580654370382
heavy_burst,6,MC,364.33670876515833
heavy_burst,7,MC,357.19003244933845
heavy_burst,8,MC,325.60276710724344
heavy_burst,8,MC,348.0301105666399
heavy_burst,8,MC,381.5902989216582
heavy_burst,9,MC,367.43902001846254
heavy_burst,9,MC,207.6762729802759
heavy_burst,10,MC,515.2055152692476
heavy_burst,10,MC,417.787098004677
heavy_burst,10,MC,346.3854378178048
heavy_burst,11,MC,342.0842313843
heavy_burst,11,MC,300.7840583723862
heavy_burst,12,MC,387.9200726050396
heavy_burst,12,MC,399.3536593827045
heavy_burst,13,MC,380.8256287634073
heavy_burst,13,MC,314.9504009888062
heavy_burst,14,MC,275.62895270254376
heavy_burst,14,MC,410.3858266570803
heavy_burst,15,MC,406.0723231959606
heavy_burst,15,MC,425.4248603263129
heavy_burst,15,MC,470.24104996784286
heavy_burst,16,MC,268.1107781912999
heavy_burst,17,MC,349.78936317023823
heavy_burst,17,MC,433.2617769800145
heavy_burst,18,MC,388.5053123496167
heavy_burst,19,MC,415.93931708578145
heavy_burst,19,MC,468.22927432532776
heavy_burst,20,MC,320.142619311806
heavy_burst,20,MC,475.41237692396976
heavy_burst,21,MC,443.65919389980314
heavy_burst,21,MC,337.1947152950199
heavy_burst,21,MC,450.1948910673583
heavy_burst,22,MC,377.5123541670205
heavy_burst,22,MC,340.86836230872564
heavy_burst,23,MC,104.3255321789136
heavy_burst,23,MC,461.9655859262082
heavy_burst,24,MC,351.3815644627005
heavy_burst,24,MC,429.82482725134116
heavy_burst,25,MC,325.85281310365843
heavy_burst,26,MC,358.4462740028158
heavy_burst,26,MC,368.28744473475797
heavy_burst,26,MC,424.15266584597333
heavy_burst,27,MC,353.50797769285515
heavy_burst,27,MC,478.8076382002266
heavy_burst,27,MC,461.7626949781197
heavy_burst,28,MC,324.3431970958479
heavy_burst,28,MC,441.2023642655747
heavy_burst,29,MC,296.2150006199895
