trial,edf_hc_miss,psr_hc_miss
0,0.7804878048780488,0.0
1,0.975609756097561,0.0
2,0.8947368421052632,0.0
3,0.8787878787878788,0.0
4,0.9090909090909091,0.0
5,0.8421052631578947,0.0
6,0.8958333333333334,0.0
7,0.8095238095238095,0.0
8,0.8823529411764706,0.0
9,0.8,0.0
10,0.8857142857142857,0.0
11,0.8222222222222222,0.0
12,0.8695652173913043,0.0
13,0.8181818181818182,0.0
14,0.8421052631578947,0.0
15,0.9285714285714286,0.0
16,0.8648648648648649,0.0
17,0.9230769230769231,0.0
18,0.8780487804878049,0.0
19,0.8372093023255814,0.0
20,0.775,0.0
21,0.7727272727272727,0.0
22,0.8461538461538461,0.0
23,0.9032258064516129,0.0
24,0.8604651162790697,0.0
25,0.6764705882352942,0.0
26,0.8648648648648649,0.0
27,0.8421052631578947,0.0
28,0.8611111111111112,0.0
29,0.7368421052631579,0.0
30,0.918918918918919,0.0
31,0.9375,0.0
32,0.875,0.0
33,0.7631578947368421,0.0
34,0.7931034482758621,0.0
35,0.8409090909090909,0.0
36,0.8823529411764706,0.0
37,0.85,0.0
38,0.9111111111111111,0.0
39,0.8837209302325582,0.0
40,0.8421052631578947,0.0
41,0.8780487804878049,0.0
42,0.8222222222222222,0.0
43,0.8205128205128205,0.0
44,0.8780487804878049,0.0
45,0.8333333333333334,0.0
46,0.8928571428571429,0.0
47,0.8333333333333334,0.0
48,0.7428571428571429,0.0
49,0.85,0.0
50,0.9090909090909091,0.0
51,0.8666666666666667,0.0
52,0.9318181818181818,0.0
53,0.8780487804878049,0.0
54,0.8372093023255814,0.0
55,0.851063829787234,0.0
56,0.9428571428571428,0.0
57,0.9117647058823529,0.0
58,0.8333333333333334,0.0
59,0.8085106382978723,0.0
60,0.7857142857142857,0.0
61,0.8048780487804879,0.0
62,0.9090909090909091,0.0
63,0.9069767441860465,0.0
64,0.85,0.0
65,0.8387096774193549,0.0
66,0.8297872340425532,0.0
67,0.8,0.0
68,0.8780487804878049,0.0
69,0.8974358974358975,0.0
70,0.813953488372093,0.0
71,0.8723404255319149,0.0
72,0.8285714285714286,0.0
73,0.8857142857142857,0.0
74,0.8205128205128205,0.0
75,0.8235294117647058,0.0
76,0.8604651162790697,0.0
77,0.8775510204081632,0.0
78,0.9210526315789473,0.0
79,0.8214285714285714,0.0
80,0.8205128205128205,0.0
81,0.9069767441860465,0.0
82,0.85,0.0
83,0.8235294117647058,0.0
84,0.925,0.0
85,0.8275862068965517,0.0
86,0.8648648648648649,0.0
87,0.8541666666666666,0.0
88,0.9024390243902439,0.0
89,0.851063829787234,0.0
90,0.8048780487804879,0.0
91,0.926829268292683,0.0
92,0.8484848484848485,0.0
93,0.7209302325581395,0.0
94,0.8809523809523809,0.0
95,0.90625,0.0
96,0.9,0.0
97,0.75,0.0
98,0.7659574468085106,0.0
99,0.9375,0.0
100,0.9166666666666666,0.0
101,0.9069767441860465,0.0
102,0.7560975609756098,0.0
103,0.7222222222222222,0.0
104,0.9545454545454546,0.0
105,0.9166666666666666,0.0
106,0.8571428571428571,0.0
107,0.7878787878787878,0.0
108,0.7941176470588235,0.0
109,0.8260869565217391,0.0
110,0.8857142857142857,0.0
111,0.9032258064516129,0.0
112,0.9166666666666666,0.0
113,0.9090909090909091,0.0
114,0.868421052631579,0.0
115,0.8372093023255814,0.0
116,0.8913043478260869,0.0
117,0.8717948717948718,0.0
118,0.8333333333333334,0.0
119,0.8,0.0
120,0.8974358974358975,0.0
121,0.8444444444444444,0.0
122,0.851063829787234,0.0
123,0.8888888888888888,0.0
124,0.8181818181818182,0.0
125,0.875,0.0
126,0.8181818181818182,0.0
127,0.8863636363636364,0.0
128,0.8095238095238095,0.0
129,0.775,0.0
130,0.9111111111111111,0.0
131,0.84375,0.0
132,0.9069767441860465,0.0
133,0.8571428571428571,0.0
134,0.875,0.0
135,0.78125,0.0
136,0.7857142857142857,0.0
137,0.7777777777777778,0.0
138,0.8787878787878788,0.0
139,0.7857142857142857,0.0
140,0.8837209302325582,0.0
141,0.8285714285714286,0.0
142,0.8717948717948718,0.0
143,0.9285714285714286,0.0
144,0.926829268292683,0.0
145,0.8695652173913043,0.0
146,0.825,0.0
147,0.8387096774193549,0.0
148,0.8378378378378378,0.0
149,0.875,0.0
150,0.95,0.0
151,0.8571428571428571,0.0
152,0.7555555555555555,0.0
153,0.8181818181818182,0.0
154,0.8260869565217391,0.0
155,0.8974358974358975,0.0
156,0.9130434782608695,0.0
157,0.8695652173913043,0.0
158,0.8648648648648649,0.0
159,0.8125,0.0
160,0.8,0.0
161,0.868421052631579,0.0
162,0.7368421052631579,0.0
163,0.9565217391304348,0.0
164,0.9130434782608695,0.0
165,0.7647058823529411,0.0
166,0.8679245283018868,0.0
167,0.896551724137931,0.0
168,0.8604651162790697,0.0
169,0.8837209302325582,0.0
170,0.8571428571428571,0.0
171,0.9523809523809523,0.0
172,0.8372093023255814,0.0
173,0.926829268292683,0.0
174,0.8611111111111112,0.0
175,0.8611111111111112,0.0
176,0.9444444444444444,0.0
177,0.84,0.0
178,0.8529411764705882,0.0
179,0.8461538461538461,0.0
180,0.9111111111111111,0.0
181,0.8780487804878049,0.0
182,0.7272727272727273,0.0
183,0.8979591836734694,0.0
184,0.8043478260869565,0.0
185,0.8484848484848485,0.0
186,0.8421052631578947,0.0
187,0.875,0.0
188,0.8936170212765957,0.0
189,0.875,0.0
190,0.8787878787878788,0.0
191,0.7419354838709677,0.0
192,0.9047619047619048,0.0
193,0.9354838709677419,0.0
194,0.90625,0.0
195,0.8125,0.0
196,0.8235294117647058,0.0
197,0.8421052631578947,0.0
198,0.775,0.0
199,0.7837837837837838,0.0
200,0.7837837837837838,0.0
201,0.8823529411764706,0.0
202,0.8421052631578947,0.0
203,0.9183673469387755,0.0
204,0.9285714285714286,0.0
205,0.8863636363636364,0.0
206,0.9032258064516129,0.0
207,0.9166666666666666,0.0
208,0.875,0.0
209,0.9024390243902439,0.0
210,0.8809523809523809,0.0
211,0.8947368421052632,0.0
212,0.84375,0.0
213,0.9310344827586207,0.0
214,0.9148936170212766,0.0
215,0.8484848484848485,0.0
216,0.7575757575757576,0.0
217,0.8666666666666667,0.0
218,0.967741935483871,0.0
219,0.6363636363636364,0.0
220,0.9411764705882353,0.0
221,0.8043478260869565,0.0
222,0.8,0.0
223,0.75,0.0
224,0.8157894736842105,0.0
225,0.868421052631579,0.0
226,0.8292682926829268,0.0
227,0.9148936170212766,0.0
228,0.8823529411764706,0.0
229,0.8571428571428571,0.0
230,0.7727272727272727,0.0
231,0.9,0.0
232,0.9487179487179487,0.0
233,0.8888888888888888,0.0
234,0.8292682926829268,0.0
235,0.7777777777777778,0.0
236,0.875,0.0
237,0.875,0.0
238,0.8571428571428571,0.0
239,0.7916666666666666,0.0
240,0.8648648648648649,0.0
241,0.9333333333333333,0.0
242,0.9142857142857143,0.0
243,0.8157894736842105,0.0
244,0.8888888888888888,0.0
245,0.9024390243902439,0.0
246,0.7894736842105263,0.0
247,0.782608695652174,0.0
248,0.9318181818181818,0.0
249,0.8285714285714286,0.0
250,0.9361702127659575,0.0
251,0.7631578947368421,0.0
252,0.7297297297297297,0.0
253,0.8571428571428571,0.0
254,0.7142857142857143,0.0
255,0.9428571428571428,0.0
256,0.8837209302325582,0.0
257,0.8409090909090909,0.0
258,0.8775510204081632,0.0
259,0.875,0.0
260,0.7857142857142857,0.0
261,0.9259259259259259,0.0
262,0.7567567567567568,0.0
263,0.8536585365853658,0.0
264,0.8888888888888888,0.0
265,0.9019607843137255,0.0
266,0.7837837837837838,0.0
267,0.813953488372093,0.0
268,0.8809523809523809,0.0
269,0.7941176470588235,0.0
270,0.8095238095238095,0.0
271,0.8571428571428571,0.0
272,0.9347826086956522,0.0
273,0.9032258064516129,0.0
274,0.8333333333333334,0.0
275,0.8809523809523809,0.0
276,0.8571428571428571,0.0
277,0.8709677419354839,0.0
278,0.8,0.0
279,0.8888888888888888,0.0
280,0.8333333333333334,0.0
281,0.7608695652173914,0.0
282,0.7045454545454546,0.0
283,0.8484848484848485,0.0
284,0.8125,0.0
285,0.7941176470588235,0.0
286,0.7708333333333334,0.0
287,0.8297872340425532,0.0
288,0.8378378378378378,0.0
289,0.9310344827586207,0.0
290,0.7714285714285715,0.0
291,0.8958333333333334,0.0
292,0.8125,0.0
293,0.8378378378378378,0.0
294,0.9473684210526315,0.0
295,0.8627450980392157,0.0
296,0.8048780487804879,0.0
297,0.7857142857142857,0.0
298,0.8055555555555556,0.0
299,0.8085106382978723,0.0
300,0.7560975609756098,0.0
301,0.8409090909090909,0.0
302,0.9534883720930233,0.0
303,0.875,0.0
304,0.8431372549019608,0.0
305,0.8918918918918919,0.0
306,0.7297297297297297,0.0
307,0.9433962264150944,0.0
308,0.8695652173913043,0.0
309,0.8695652173913043,0.0
310,0.9354838709677419,0.0
311,0.8333333333333334,0.0
312,0.7894736842105263,0.0
313,0.8214285714285714,0.0
314,0.825,0.0
315,0.8157894736842105,0.0
316,0.90625,0.0
317,0.972972972972973,0.0
318,0.9111111111111111,0.0
319,0.8,0.0
320,0.8333333333333334,0.0
321,0.918918918918919,0.0
322,0.875,0.0
323,0.8260869565217391,0.0
324,0.8620689655172413,0.0
325,0.8048780487804879,0.0
326,0.8809523809523809,0.0
327,0.8717948717948718,0.0
328,0.8,0.0
329,0.8,0.0
330,0.813953488372093,0.0
331,0.8913043478260869,0.0
332,0.8148148148148148,0.0
333,0.9166666666666666,0.0
334,0.9117647058823529,0.0
335,0.8363636363636363,0.0
336,0.8888888888888888,0.0
337,0.7450980392156863,0.0
338,0.9444444444444444,0.0
339,0.9090909090909091,0.0
340,0.7692307692307693,0.0
341,0.9512195121951219,0.0
342,0.85,0.0
343,0.875,0.0
344,0.8837209302325582,0.0
