trace,n_samples,window,K,n_windows,tau_mean,tau_median,tau_p95,tau_min,tau_max,frac_exceed_0.01,frac_exceed_0.1,frac_exceed_0.5,frac_exceed_1.0,exploitable
v3_J1_jitter,64,8,1,35,1.670419496724748,2.33047799129876,2.3304779912987628,0.0,2.330477991298763,0.8857142857142857,0.8285714285714286,0.7142857142857143,0.7142857142857143,True
v3_J1_jitter,64,8,2,34,3.1001792054544426,2.4498243858479323,4.660955982597525,0.1732867727235738,4.6609559825975255,1.0,1.0,0.9117647058823529,0.9117647058823529,True
v3_J1_jitter,64,8,5,31,7.393498668353051,7.078077369233414,11.51506346898787,2.503764764022335,11.565746597058041,1.0,1.0,1.0,1.0,True
v3_J1_jitter,64,8,10,26,11.435607582003056,12.860950658787095,18.4510997162859,2.9157443258442495,19.163684302700528,1.0,1.0,1.0,1.0,True
v3_J1_jitter,64,8,20,16,10.083233467042458,9.53852045353786,12.172250292615203,7.164720746619862,12.172250292615207,1.0,1.0,1.0,1.0,True
v3_J2_jitter,64,8,1,35,1.2873963551169367,2.229111734870739,2.3304779912987628,0.0,2.3304779912987628,0.9142857142857143,0.7142857142857143,0.5428571428571428,0.5428571428571428,True
v3_J2_jitter,64,8,2,34,2.5108866317765384,2.39914125763392,4.66095598259752,0.1520493937612146,4.660955982597524,1.0,1.0,0.8235294117647058,0.8235294117647058,True
v3_J2_jitter,64,8,5,31,6.272464533814627,6.9047906144605165,9.690569847299075,2.366438267541055,9.820534940304757,1.0,1.0,1.0,1.0,True
v3_J2_jitter,64,8,10,26,10.217456802354858,9.88594093872885,14.09117223267955,4.986292167032989,16.573276125102716,1.0,1.0,1.0,1.0,True
v3_J2_jitter,64,8,20,16,11.165233704816863,9.495198774060388,18.990397552487224,5.0941729233817945,18.990397566165996,1.0,1.0,1.0,1.0,True
v3_L_loss,64,8,1,35,1.4696416517310071,2.229111734870739,2.3304779912987628,0.0,2.3304779912987628,0.8857142857142857,0.8,0.6285714285714286,0.6285714285714286,True
v3_L_loss,64,8,2,34,2.9128653907456368,2.482527385059976,4.691281170965519,0.1732867727235738,4.834242755321098,1.0,1.0,0.8235294117647058,0.8235294117647058,True
v3_L_loss,64,8,5,31,6.422300517343206,6.991433991846964,10.64981905306216,0.49255274374850905,11.891082763542826,1.0,1.0,0.967741935483871,0.9354838709677419,True
v3_L_loss,64,8,10,26,9.091028559745466,7.4796604029237885,18.568817476735692,2.829100930507122,19.229090301124618,1.0,1.0,1.0,1.0,True
v3_L_loss,64,8,20,16,8.701391267688445,7.121399057926632,15.369077014283622,2.330477991298763,17.181918040797527,1.0,1.0,1.0,1.0,True
phase_A_leader,96,12,1,63,0.5720513979661728,0.10136625666682196,1.5198632361992692,0.0,1.5198632361992697,0.8412698412698413,0.5396825396825397,0.36507936507936506,0.36507936507936506,True
phase_A_leader,96,12,2,62,1.136248893518722,1.457193364026042,2.9785853516273204,0.0,3.0397264723985393,0.967741935483871,0.8548387096774194,0.5645161290322581,0.5645161290322581,True
phase_A_leader,96,12,5,59,3.2463125603620173,3.0680429778469915,6.074979636030025,0.231049018475244,6.194977471773059,1.0,1.0,0.8983050847457628,0.8983050847457628,True
phase_A_leader,96,12,10,54,6.398403846205099,6.2000332171182535,12.382184704986432,1.5100480010904365,12.66460800783379,1.0,1.0,1.0,1.0,True
phase_A_leader,96,12,20,44,9.960831158588364,8.206384546986353,17.570771280174075,3.1988550277403474,17.5707712977801,1.0,1.0,1.0,1.0,True
phase_B_leader,96,12,1,63,0.815079254869546,1.447942737725412,1.5198632361992697,0.0,1.5198632361992699,0.9047619047619048,0.7619047619047619,0.5238095238095238,0.5238095238095238,True
phase_B_leader,96,12,2,62,1.6313575759636136,1.5776254995906869,3.0397264723985398,0.0,3.097488735789955,0.967741935483871,0.8709677419354839,0.7580645161290323,0.7580645161290323,True
