zeta,kappa,trial,scheduler,hc_miss_rate,lc_miss_rate
0.1,1.2,4,EDF (baseline),0.0,0.0
0.1,1.2,4,LST,0.9797979797979798,0.9950124688279302
0.1,1.2,4,EQDF,0.0,0.0
0.1,1.2,4,PSR (primary),0.0,1.0
0.1,1.2,4,PSR (slack-aware),0.0,1.0
0.1,1.2,5,EDF (baseline),0.0,0.012987012987012988
0.1,1.2,5,LST,1.0,0.9974025974025974
0.1,1.2,5,EQDF,0.0,0.0
0.1,1.2,5,PSR (primary),0.0,1.0
0.1,1.2,5,PSR (slack-aware),0.0,1.0
0.1,1.2,6,EDF (baseline),0.0,0.0
0.1,1.2,6,LST,1.0,0.9925373134328358
0.1,1.2,6,EQDF,0.0,0.0
0.1,1.2,6,PSR (primary),0.0,1.0
0.1,1.2,6,PSR (slack-aware),0.0,1.0
0.1,1.2,7,EDF (baseline),0.019801980198019802,0.005012531328320802
0.1,1.2,7,LST,0.9900990099009901,0.9899749373433584
0.1,1.2,7,EQDF,0.0,0.0
0.1,1.2,7,PSR (primary),0.0,1.0
0.1,1.2,7,PSR (slack-aware),0.0,1.0
0.1,1.2,8,EDF (baseline),0.0,0.0
0.1,1.2,8,LST,1.0,0.995
0.1,1.2,8,EQDF,0.0,0.01
0.1,1.2,8,PSR (primary),0.0,1.0
0.1,1.2,8,PSR (slack-aware),0.0,1.0
0.1,1.2,9,EDF (baseline),0.0,0.007537688442211055
0.1,1.2,9,LST,0.9803921568627451,0.9874371859296482
0.1,1.2,9,EQDF,0.0,0.002512562814070352
0.1,1.2,9,PSR (primary),0.0,1.0
0.1,1.2,9,PSR (slack-aware),0.0,1.0
0.2,1.0,0,EDF (baseline),0.008547008547008548,0.010443864229765013
0.2,1.0,0,LST,0.9914529914529915,0.9895561357702349
0.2,1.0,0,EQDF,0.008547008547008548,0.007832898172323759
0.2,1.0,0,PSR (primary),0.0,1.0
0.2,1.0,0,PSR (slack-aware),0.0,1.0
0.2,1.0,1,EDF (baseline),0.0,0.0
0.2,1.0,1,LST,0.9805825242718447,0.9899244332493703
0.2,1.0,1,EQDF,0.009708737864077669,0.022670025188916875
0.2,1.0,1,PSR (primary),0.0,1.0
0.2,1.0,1,PSR (slack-aware),0.0,1.0
0.2,1.0,2,EDF (baseline),0.00909090909090909,0.007692307692307693
0.2,1.0,2,LST,0.9818181818181818,0.9948717948717949
0.2,1.0,2,EQDF,0.01818181818181818,0.017948717948717947
0.2,1.0,2,PSR (primary),0.0,1.0
0.2,1.0,2,PSR (slack-aware),0.0,1.0
0.2,1.0,3,EDF (baseline),0.01,0.0375
0.2,1.0,3,LST,1.0,0.9975
0.2,1.0,3,EQDF,0.01,0.06
0.2,1.0,3,PSR (primary),0.0,1.0
0.2,1.0,3,PSR (slack-aware),0.0,1.0
0.2,1.0,4,EDF (baseline),0.0,0.007481296758104738
0.2,1.0,4,LST,0.9797979797979798,0.9950124688279302
0.2,1.0,4,EQDF,0.020202020202020204,0.014962593516209476
0.2,1.0,4,PSR (primary),0.0,1.0
0.2,1.0,4,PSR (slack-aware),0.0,1.0
0.2,1.0,5,EDF (baseline),0.008695652173913044,0.04415584415584416
0.2,1.0,5,LST,1.0,0.9974025974025974
0.2,1.0,5,EQDF,0.0,0.0
0.2,1.0,5,PSR (primary),0.0,1.0
0.2,1.0,5,PSR (slack-aware),0.0,1.0
0.2,1.0,6,EDF (baseline),0.01020408163265306,0.009950248756218905
0.2,1.0,6,LST,1.0,0.9925373134328358
0.2,1.0,6,EQDF,0.01020408163265306,0.012437810945273632
0.2,1.0,6,PSR (primary),0.0,1.0
0.2,1.0,6,PSR (slack-aware),0.0,1.0
0.2,1.0,7,EDF (baseline),0.039603960396039604,0.02506265664160401
0.2,1.0,7,LST,0.9900990099009901,0.9899749373433584
0.2,1.0,7,EQDF,0.019801980198019802,0.002506265664160401
0.2,1.0,7,PSR (primary),0.0,1.0
0.2,1.0,7,PSR (slack-aware),0.0,1.0
