poison_fraction,seed,distortion_l2,detection_score
0.0,0,0.0,0.0
0.0,1,0.0,0.0
0.0,2,0.0,0.0
0.0,3,0.0,0.0
0.0,4,0.0,0.0
0.0,5,0.0,0.0
0.0,6,0.0,0.0
0.0,7,0.0,0.0
0.05,0,0.550997109770293,0.06967737446312247
0.05,1,2.534180678273689,0.43276509508354594
0.05,2,1.5018358123488158,0.1705784491356843
0.05,3,3.4210031828296557,0.8874053909331187
0.05,4,1.8763482978338513,0.3543149113867166
0.05,5,0.7369847262680203,0.35204678514983284
0.05,6,1.0756075870350612,0.2736840266046651
0.05,7,0.4724478470499818,0.1845671547373901
0.1,0,0.8680510742991518,0.41479203848252333
0.1,1,3.1242033790271977,0.694486258937446
0.1,2,1.1434640641406038,0.34608884960037845
0.1,3,2.9264376308841515,0.6439160848948772
0.1,4,3.7375458209547103,0.6667225320010919
0.1,5,1.4061422841882887,0.7277385546999727
0.1,6,2.4565462975746164,0.6667308972530553
0.1,7,0.4991465345343951,0.16910879625385639
0.2,0,6.22248143874934,1.3417927563467702
0.2,1,1.7827533466996917,0.3320655971880408
0.2,2,4.13264433667241,1.0385102271582813
0.2,3,3.174423676234081,0.9388736731855747
0.2,4,2.831089516934168,0.6139910303671314
0.2,5,2.928398023949001,0.88850956859505
0.2,6,2.293562638352924,0.6211112352224863
0.2,7,2.386366158677168,0.7578506318224482
0.3,0,5.360700208555614,1.2264887748401352
0.3,1,7.7291961596996295,1.9006223019303947
0.3,2,5.276652600024543,1.7014248464056068
0.3,3,5.256156440137704,0.9802203973621797
0.3,4,2.8831768654632244,1.2497869812819806
0.3,5,4.825257852281734,1.34131221206209
0.3,6,4.254992436231313,1.0097059310094565
0.3,7,6.274132068445693,1.4289749273271883
