seed,self_supervised_cost,supervised_cost,perfect_cost,ss_vs_supervised_pct,ss_vs_perfect_pct
0,0.7417097939618607,0.7482175734280744,0.3335243567302284,0.8697709994162967,-122.38549569013743
1,0.7247729200515742,0.7064249318281729,0.33252139601364594,-2.597301906646778,-117.96279239181082
2,0.7389749510587083,0.7698409130252005,0.33670241501114406,4.00939485603591,-119.47420574166357
3,0.719577928068991,0.7732835792610012,0.33339411427190385,6.945143105629467,-115.83402263728327
4,0.7188446440420434,0.7301187180701226,0.3436429289512167,1.544142582439098,-109.18359828788739
