trace,n_samples,alpha_hill,alpha_hill_se,alpha_boot_mean,alpha_boot_CI_lo,alpha_boot_CI_hi,alpha_mle,ks_pvalue,best_fit,delta_AIC
v3_J1_jitter,64,5.0422926264424826,2.0585073447636857,8.638849187287356,2.6201564030716082,27.36625139916653,0.5620068617642594,8.441047668449551e-08,lognormal,75.73518741773648
v3_J2_jitter,64,2.669322225270414,1.0897462351638414,5.094258703681477,1.917688809921748,20.316621305547205,0.5049876883125516,8.176539306305974e-05,lognormal,62.502622178702154
v3_L_loss,64,5.3462190901691775,2.182584804006836,4.285589666454105,0.7356646532815132,13.461422978205444,0.4246098975810387,3.652492161859374e-08,lognormal,45.542241478372716
phase_A_leader,96,7.643267182482436,2.5477557274941454,10.610000500234866,5.922981690642306,22.490275371758887,1.9015969364831007,0.00022434870938221058,lognormal,48.350119465599505
phase_B_leader,96,20.229444746003097,6.743148248667699,21.173067760179904,12.010454867337767,42.64542002917613,4.5055755069272285,3.0431148171314028e-06,lognormal,39.84110580054755
phase_W_leader,96,7.7191217882971195,2.5730405960990397,9.908831051729605,5.334665020745206,20.929516404784387,1.9628755084829632,1.1055942119185731e-08,lognormal,62.511983709743845
v4_J1,64,3.5881812310472205,1.4648688534495473,6.852506482050965,2.608975775704665,24.26661462582477,0.7321641420699813,0.0012937868562410415,lognormal,33.48752565451855
v4_J2,64,4.2468398349478145,1.7337651024912797,6.1834132937946755,2.552499800462014,21.13823237875796,0.6419829020566696,1.321641129265676e-06,lognormal,60.7185023034624
v4_R,64,0.8531480723289476,0.34829624204083304,1.488231993065313,0.6514574496588484,4.78093961985077,0.3586650557441923,3.3140290758841003e-09,lognormal,65.41632899913088
v4_D,80,5.23684351683205,1.8515037813823751,5.42165538415301,2.1104818119545192,12.020809173675786,1.0145985800647828,0.005004174996448896,lognormal,15.682922841094978
