trial,scheduler,hc_miss_rate,lc_miss_rate,total_misses
0,EDF (baseline),0.033707865168539325,0.008356545961002786,6
0,LST,0.9662921348314607,1.1448467966573816,497
0,EQDF,0.9662921348314607,1.1448467966573816,497
0,PSR (primary),0.0,1.1448467966573816,411
0,PSR (slack-aware),0.0,1.1448467966573816,411
1,EDF (baseline),0.023529411764705882,0.0110803324099723,6
1,LST,0.9764705882352941,1.149584487534626,498
1,EQDF,0.9647058823529412,1.149584487534626,497
1,PSR (primary),0.0,1.149584487534626,415
1,PSR (slack-aware),0.0,1.149584487534626,415
2,EDF (baseline),0.014492753623188406,0.02168021680216802,9
2,LST,0.9710144927536232,1.1680216802168022,498
2,EQDF,0.9565217391304348,1.1680216802168022,497
2,PSR (primary),0.0,1.1680216802168022,431
2,PSR (slack-aware),0.0,1.1680216802168022,431
3,EDF (baseline),0.012345679012345678,0.024390243902439025,10
3,LST,0.9753086419753086,1.1355013550135502,498
3,EQDF,0.9629629629629629,1.1355013550135502,497
3,PSR (primary),0.0,1.1355013550135502,419
3,PSR (slack-aware),0.0,1.1355013550135502,419
4,EDF (baseline),0.011494252873563218,0.019230769230769232,8
4,LST,0.9540229885057471,1.129120879120879,494
4,EQDF,0.9425287356321839,1.1346153846153846,495
4,PSR (primary),0.0,1.1346153846153846,413
4,PSR (slack-aware),0.011494252873563218,1.1346153846153846,414
5,EDF (baseline),0.0,0.005319148936170213,2
5,LST,0.963855421686747,1.1090425531914894,497
5,EQDF,0.9518072289156626,1.1090425531914894,496
5,PSR (primary),0.0,1.1090425531914894,417
5,PSR (slack-aware),0.0,1.1090425531914894,417
6,EDF (baseline),0.0,0.005291005291005291,2
6,LST,0.9354838709677419,1.1587301587301588,496
6,EQDF,0.9516129032258065,1.1587301587301588,497
6,PSR (primary),0.0,1.1587301587301588,438
6,PSR (slack-aware),0.0,1.1587301587301588,438
7,EDF (baseline),0.012658227848101266,0.010498687664041995,5
7,LST,0.9746835443037974,1.10498687664042,498
7,EQDF,0.9493670886075949,1.10498687664042,496
7,PSR (primary),0.0,1.10498687664042,421
7,PSR (slack-aware),0.012658227848101266,1.10498687664042,422
8,EDF (baseline),0.0,0.004975124378109453,2
8,LST,0.95,1.0945273631840795,497
8,EQDF,0.9666666666666667,1.0945273631840795,498
8,PSR (primary),0.0,1.0945273631840795,440
8,PSR (slack-aware),0.0,1.0945273631840795,440
9,EDF (baseline),0.0,0.015113350125944584,6
9,LST,0.96875,1.0957178841309825,497
9,EQDF,0.921875,1.0982367758186398,495
9,PSR (primary),0.0,1.0982367758186398,436
9,PSR (slack-aware),0.0,1.0982367758186398,436
