injection,seed,protocol,phase,mean_cost,p99_cost
partition,0,baseline,pre,0.7091689052105138,5.991123212314496
partition,0,baseline,during,0.7849876268614723,8.075417035860166
partition,0,baseline,post,0.847529300634799,6.969647309614969
partition,0,is_raft,pre,0.7075838507879249,5.991123212314496
partition,0,is_raft,during,0.7849876268614723,8.075417035860166
partition,0,is_raft,post,0.847529300634799,6.969647309614969
partition,1,baseline,pre,0.7956802395037812,7.21760079747753
partition,1,baseline,during,0.7677365663887316,7.44276437701767
partition,1,baseline,post,0.6708042376340828,3.9818752944828377
partition,1,is_raft,pre,0.7975948725988414,7.21760079747753
partition,1,is_raft,during,0.7677365663887316,7.44276437701767
partition,1,is_raft,post,0.6708042376340828,3.9818752944828377
partition,2,baseline,pre,0.7634862695350404,5.239382192817215
partition,2,baseline,during,0.8008914348825833,6.136601813209144
partition,2,baseline,post,0.8479237114032145,9.243455504577184
partition,2,is_raft,pre,0.7630937573555239,5.239382192817215
partition,2,is_raft,during,0.8008914348825833,6.136601813209144
partition,2,is_raft,post,0.8479237114032145,9.243455504577184
partition,3,baseline,pre,0.8558561222283906,9.27756504601754
partition,3,baseline,during,0.797864101877952,6.089729315656298
partition,3,baseline,post,0.7863977527699378,6.023831960723492
partition,3,is_raft,pre,0.8553633865270778,9.27756504601754
partition,3,is_raft,during,0.797864101877952,6.089729315656298
partition,3,is_raft,post,0.7863977527699378,6.023831960723492
partition,4,baseline,pre,0.6383273282361828,4.119010011997583
partition,4,baseline,during,0.716334832725669,5.6234719556075214
partition,4,baseline,post,0.8676802478231156,9.127115227169375
partition,4,is_raft,pre,0.6489421079841495,4.119010011997583
partition,4,is_raft,during,0.716334832725669,5.6234719556075214
partition,4,is_raft,post,0.8676802478231156,9.127115227169375
slow_node,0,baseline,pre,0.7091689052105138,5.991123212314496
slow_node,0,baseline,during,0.7467568374604332,4.6399307652260235
slow_node,0,baseline,post,0.8229132090431874,6.969647309614969
slow_node,0,is_raft,pre,0.7075838507879249,5.991123212314496
slow_node,0,is_raft,during,0.7467568374604332,4.6399307652260235
slow_node,0,is_raft,post,0.8229132090431874,6.969647309614969
slow_node,1,baseline,pre,0.7956802395037812,7.21760079747753
slow_node,1,baseline,during,0.8526281338568472,6.449677683688956
slow_node,1,baseline,post,0.7006061426665576,6.410208306332444
slow_node,1,is_raft,pre,0.7975948725988414,7.21760079747753
slow_node,1,is_raft,during,0.8526281338568472,6.449677683688956
slow_node,1,is_raft,post,0.7006061426665576,6.410208306332444
slow_node,2,baseline,pre,0.7634862695350404,5.239382192817215
slow_node,2,baseline,during,0.7842688065110973,6.550562943912528
slow_node,2,baseline,post,0.8047411011441633,5.493091992051157
slow_node,2,is_raft,pre,0.7630937573555239,5.239382192817215
slow_node,2,is_raft,during,0.7842688065110973,6.550562943912528
slow_node,2,is_raft,post,0.8047411011441633,5.493091992051157
slow_node,3,baseline,pre,0.8558561222283906,9.27756504601754
slow_node,3,baseline,during,0.7813061363527997,6.761887722098943
slow_node,3,baseline,post,0.7709085541511039,6.023831960723492
slow_node,3,is_raft,pre,0.8553633865270778,9.27756504601754
slow_node,3,is_raft,during,0.7813061363527997,6.761887722098943
slow_node,3,is_raft,post,0.7709085541511039,6.023831960723492
slow_node,4,baseline,pre,0.6383273282361828,4.119010011997583
slow_node,4,baseline,during,0.6590994829994423,5.566149225574904
slow_node,4,baseline,post,0.8588622797224537,9.127115227169375
slow_node,4,is_raft,pre,0.6489421079841495,4.119010011997583
slow_node,4,is_raft,during,0.6590994829994423,5.566149225574904
slow_node,4,is_raft,post,0.8588622797224537,9.127115227169375
leader_crash,0,baseline,pre,0.7091689052105138,5.991123212314496
leader_crash,0,baseline,during,0.6342252969384807,4.0731435244001695
leader_crash,0,baseline,post,0.8395462987577395,6.969647309614969
leader_crash,0,is_raft,pre,0.7075838507879249,5.991123212314496
leader_crash,0,is_raft,during,0.6342252969384807,4.0731435244001695
leader_crash,0,is_raft,post,0.8395462987577395,6.969647309614969
leader_crash,1,baseline,pre,0.7956802395037812,7.21760079747753
leader_crash,1,baseline,during,0.6597352455991032,5.711492465754078
leader_crash,1,baseline,post,0.7391531465031573,6.410208306332444
leader_crash,1,is_raft,pre,0.7975948725988414,7.21760079747753
leader_crash,1,is_raft,during,0.6597352455991032,5.711492465754078
leader_crash,1,is_raft,post,0.7391531465031573,6.410208306332444
leader_crash,2,baseline,pre,0.7634862695350404,5.239382192817215
leader_crash,2,baseline,during,0.7101788924702559,5.634264596594558
leader_crash,2,baseline,post,0.8567911578738177,7.8856997230535795
leader_crash,2,is_raft,pre,0.7630937573555239,5.239382192817215
leader_crash,2,is_raft,during,0.7101788924702559,5.634264596594558
leader_crash,2,is_raft,post,0.8567911578738177,7.8856997230535795
leader_crash,3,baseline,pre,0.8558561222283906,9.27756504601754
leader_crash,3,baseline,during,0.6046777246484859,4.662177377724517
leader_crash,3,baseline,post,0.8767626194775268,7.899262367484247
leader_crash,3,is_raft,pre,0.8553633865270778,9.27756504601754
leader_crash,3,is_raft,during,0.6046777246484859,4.662177377724517
leader_crash,3,is_raft,post,0.8767626194775268,7.899262367484247
leader_crash,4,baseline,pre,0.6383273282361828,4.119010011997583
leader_crash,4,baseline,during,0.5893144078629902,4.897251232038981
leader_crash,4,baseline,post,0.868750990191489,9.127115227169375
leader_crash,4,is_raft,pre,0.6489421079841495,4.119010011997583
leader_crash,4,is_raft,during,0.5893144078629902,4.897251232038981
leader_crash,4,is_raft,post,0.868750990191489,9.127115227169375
clock_skew,0,baseline,pre,0.7091689052105138,5.991123212314496
clock_skew,0,baseline,during,0.6061670979457561,4.8541102755891625
clock_skew,0,baseline,post,0.8483179056472707,6.969647309614969
clock_skew,0,is_raft,pre,0.7075838507879249,5.991123212314496
clock_skew,0,is_raft,during,0.6061670979457561,4.8541102755891625
clock_skew,0,is_raft,post,0.8483179056472707,6.969647309614969
clock_skew,1,baseline,pre,0.7956802395037812,7.21760079747753
clock_skew,1,baseline,during,0.607556005841728,4.419379891540172
clock_skew,1,baseline,post,0.7425885066354678,6.410208306332444
clock_skew,1,is_raft,pre,0.7975948725988414,7.21760079747753
clock_skew,1,is_raft,during,0.607556005841728,4.419379891540172
clock_skew,1,is_raft,post,0.7425885066354678,6.410208306332444
clock_skew,2,baseline,pre,0.7634862695350404,5.239382192817215
clock_skew,2,baseline,during,0.6052429601924345,4.83377284583248
clock_skew,2,baseline,post,0.8618481075506712,7.8856997230535795
clock_skew,2,is_raft,pre,0.7630937573555239,5.239382192817215
clock_skew,2,is_raft,during,0.6052429601924345,4.83377284583248
clock_skew,2,is_raft,post,0.8618481075506712,7.8856997230535795
clock_skew,3,baseline,pre,0.8558561222283906,9.27756504601754
