seed,bin,bin_lo,bin_hi,predicted_prob,empirical_prob,n_samples
0,0,0.08899283492190635,0.11721820957595983,0.10879671752446413,0.8823529411764706,34
0,1,0.11721820957595983,0.1454435842300133,0.13409458469863456,0.9354838709677419,248
0,2,0.1454435842300133,0.1736689588840668,0.16091345931630843,0.924822695035461,705
0,3,0.1736689588840668,0.20189433353812028,0.18843954385539155,0.9486531986531986,1188
0,4,0.20189433353812028,0.23011970819217376,0.21552986123444515,0.9169278996865203,1276
0,5,0.23011970819217376,0.25834508284622726,0.2429461174419736,0.9434889434889435,814
0,6,0.25834508284622726,0.28657045750028076,0.2709396444447402,0.941544885177453,479
0,7,0.28657045750028076,0.3147958321543342,0.29986535451484386,0.925531914893617,188
0,8,0.3147958321543342,0.3430212068083877,0.32692516561241985,0.984375,64
1,0,0.0814433757509303,0.11086037042507056,0.10152690595730929,1.0,14
1,1,0.11086037042507056,0.14027736509921082,0.1294020466122139,0.9302325581395349,215
1,2,0.14027736509921082,0.1696943597733511,0.15674188932812833,0.898989898989899,693
1,3,0.1696943597733511,0.19911135444749134,0.18466433691016515,0.9369602763385146,1158
1,4,0.19911135444749134,0.2285283491216316,0.21323844565144115,0.943716268311488,1297
1,5,0.2285283491216316,0.2579453437957719,0.2417738712990973,0.9545970488081725,881
1,6,0.2579453437957719,0.2873623384699121,0.2705232899119935,0.9322381930184805,487
1,7,0.2873623384699121,0.3167793331440524,0.29952465832556296,0.9653179190751445,173
1,8,0.3167793331440524,0.34619632781819265,0.32770665367991936,0.9722222222222222,72
1,9,0.34619632781819265,0.3756133224923329,0.3637519508219852,1.0,10
2,0,0.08699407496806526,0.11534465590057325,0.1050113826731661,0.88,25
2,1,0.11534465590057325,0.14369523683308125,0.1335077145565469,0.9344978165938864,229
2,2,0.14369523683308125,0.17204581776558925,0.15892567648509295,0.9242424242424242,660
2,3,0.17204581776558925,0.20039639869809722,0.18723847668704974,0.9267241379310345,1160
2,4,0.20039639869809722,0.22874697963060525,0.21416810505605896,0.9396751740139211,1293
2,5,0.22874697963060525,0.2570975605631132,0.24154571344989903,0.9407035175879397,995
2,6,0.2570975605631132,0.2854481414956212,0.269849444550727,0.9394673123486683,413
2,7,0.2854481414956212,0.31379872242812923,0.2970983844935453,0.9305555555555556,144
2,8,0.31379872242812923,0.3421493033606372,0.3256208625869418,0.9393939393939394,66
2,9,0.3421493033606372,0.37049988429314523,0.3563492147475812,1.0,15
3,0,0.08766983796874694,0.11531525692422774,0.10681681324225528,0.9473684210526315,19
3,1,0.11531525692422774,0.14296067587970854,0.13308823084647936,0.9396551724137931,232
3,2,0.14296067587970854,0.17060609483518935,0.15862014930059784,0.9137254901960784,765
3,3,0.17060609483518935,0.19825151379067013,0.18518019914835443,0.9320574162679426,1045
3,4,0.19825151379067013,0.22589693274615094,0.21190935508712183,0.9456427955133736,1159
3,5,0.22589693274615094,0.25354235170163175,0.23840445476786434,0.9422875131164743,953
3,6,0.25354235170163175,0.28118777065711253,0.2651034177584014,0.93713163064833,509
3,7,0.28118777065711253,0.3088331896125933,0.29393586802842847,0.9315789473684211,190
3,8,0.3088331896125933,0.33647860856807416,0.3203610913880378,0.96,100
3,9,0.33647860856807416,0.36412402752355494,0.350621584070685,0.9642857142857143,28
4,0,0.07675282386310696,0.1072578091098772,0.09467749898447635,0.9090909090909091,11
4,1,0.1072578091098772,0.13776279435664743,0.12804401637296228,0.896551724137931,203
4,2,0.13776279435664743,0.16826777960341766,0.15492095132235076,0.9233176838810642,639
4,3,0.16826777960341766,0.1987727648501879,0.1844471724730239,0.9383966244725739,1185
4,4,0.1987727648501879,0.2292777500969581,0.21403769345418222,0.9372609028309105,1307
4,5,0.2292777500969581,0.25978273534372837,0.24263611094176407,0.9462809917355371,968
4,6,0.25978273534372837,0.2902877205904986,0.2731969377386179,0.9295454545454546,440
4,7,0.2902877205904986,0.3207927058372688,0.30300067255326496,0.9555555555555556,180
4,8,0.3207927058372688,0.3512976910840391,0.3285153470922677,0.8983050847457628,59
4,9,0.3512976910840391,0.3818026763308093,0.36141455629446384,1.0,8
