zeta,psr_hc_miss_mean,psr_hc_miss_ci_lo,psr_hc_miss_ci_hi,edf_hc_miss_mean,edf_hc_miss_ci_lo,edf_hc_miss_ci_hi,theoretical_psr,theoretical_edf,psr_vs_edf_ratio
0.05,0.0,0.0,0.0,0.00265779244778741,0.0006600660066006601,0.00566393528918263,0.015075567228888182,0.3665869118066518,0.0
0.1,0.0,0.0,0.0,0.005376223861653638,0.0024742114025344186,0.008942322543840673,0.030151134457776365,0.41658691180665186,0.0
0.15,0.0,0.0,0.0,0.008701733021460599,0.004423684053236213,0.013911802460382212,0.04522670168666454,0.4665869118066518,0.0
0.2,0.0,0.0,0.0,0.01656358588060416,0.010281875940469379,0.02389299618969408,0.06030226891555273,0.5165869118066518,0.0
0.3,0.0003787878787878788,0.0,0.0011363636363636363,0.04399524768379958,0.033338763762363416,0.05617904231941631,0.09045340337332908,0.6165869118066518,0.008609745341366956
0.5,0.005147308922415004,0.001935933098804386,0.009227776117486158,0.2263467639956967,0.19638006370094777,0.2560306646352647,0.15075567228888181,0.8165869118066518,0.02274081074343464
