n_chains,seed,random_mean,lac_mean,improvement_pct
2,0,1.8797268452481588,0.3933998094262549,79.07143740481511
2,1,1.9906983131011826,0.40068074471245463,79.87235222557358
2,2,2.0212382897088013,0.38864431939049665,80.77196927401921
2,3,2.01889406560202,0.4042139250882694,79.97844800401967
2,4,2.027119691223234,0.40479978364002944,80.03079021960666
3,0,3.01024535411862,0.5996083785083214,80.08107951440114
3,1,3.1175287773822538,0.5976808574117267,80.82837721505841
3,2,2.9917471714330204,0.571240700669349,80.90611713035464
3,3,2.9971044323508154,0.5983873678698426,80.03448390350249
3,4,3.071178711089374,0.5982986044550044,80.51892576961818
5,0,4.900976776524596,0.9834621696631257,79.9333436066489
5,1,4.946918825078164,1.0226149010270658,79.32824577911065
5,2,4.954741663086201,1.027643887458974,79.25938510346316
5,3,5.008288353425287,1.011519551746035,79.80308879271632
5,4,5.05955332162339,0.9955152426801108,80.32404879645199
8,0,7.956028463727619,1.5963201764704835,79.93571561805896
8,1,8.09249357204304,1.6011506466713965,80.21437233879486
8,2,7.9819051091805635,1.5913805691679712,80.06264735798963
8,3,8.012562482909269,1.61567009075754,79.83578793670874
8,4,8.161233574711732,1.614029886100063,80.22321170783214
