epsilon,precommit,trial,coordinated,coalition_utility,advantage_vs_honest
0.0,True,75,True,1.6,0.0
0.0,True,76,True,1.6,0.0
0.0,True,77,True,1.6,0.0
0.0,True,78,True,1.6,0.0
0.0,True,79,True,1.6,0.0
0.0,True,80,True,1.6,0.0
0.0,True,81,True,1.6,0.0
0.0,True,82,True,1.6,0.0
0.0,True,83,True,1.6,0.0
0.0,True,84,True,1.6,0.0
0.0,True,85,True,1.6,0.0
0.0,True,86,True,1.6,0.0
0.0,True,87,True,1.6,0.0
0.0,True,88,True,1.6,0.0
0.0,True,89,True,1.6,0.0
0.0,True,90,True,1.6,0.0
0.0,True,91,True,1.6,0.0
0.0,True,92,True,1.6,0.0
0.0,True,93,True,1.6,0.0
0.0,True,94,True,1.6,0.0
0.0,True,95,True,1.6,0.0
0.0,True,96,True,1.6,0.0
0.0,True,97,True,1.6,0.0
0.0,True,98,True,1.6,0.0
0.0,True,99,True,1.6,0.0
0.1,False,0,True,4.6000000000000005,3.0000000000000004
0.1,False,1,True,4.6000000000000005,3.0000000000000004
0.1,False,2,True,4.6000000000000005,3.0000000000000004
0.1,False,3,True,4.6000000000000005,3.0000000000000004
0.1,False,4,True,4.6000000000000005,3.0000000000000004
0.1,False,5,True,4.6000000000000005,3.0000000000000004
0.1,False,6,True,4.6000000000000005,3.0000000000000004
0.1,False,7,True,4.6000000000000005,3.0000000000000004
0.1,False,8,True,4.6000000000000005,3.0000000000000004
0.1,False,9,True,4.6000000000000005,3.0000000000000004
0.1,False,10,True,4.6000000000000005,3.0000000000000004
0.1,False,11,True,4.6000000000000005,3.0000000000000004
0.1,False,12,True,4.6000000000000005,3.0000000000000004
0.1,False,13,True,4.6000000000000005,3.0000000000000004
0.1,False,14,True,4.6000000000000005,3.0000000000000004
0.1,False,15,True,4.6000000000000005,3.0000000000000004
0.1,False,16,True,4.6000000000000005,3.0000000000000004
0.1,False,17,True,4.6000000000000005,3.0000000000000004
0.1,False,18,True,4.6000000000000005,3.0000000000000004
0.1,False,19,True,4.6000000000000005,3.0000000000000004
0.1,False,20,True,4.6000000000000005,3.0000000000000004
0.1,False,21,True,4.6000000000000005,3.0000000000000004
