regime,alpha,baseline,is_raft_perfect,is_raft_mock,gap_perfect,gap_mock
stationary,0.8,1.7254031442312152,1.7140509572559433,1.721090498267666,1.006623016035326,1.0025057636236385
stationary,1.0,1.4492255307488842,1.4906826650358838,1.449480275162572,0.9721891618790632,0.9998242512036535
stationary,1.2,1.418253727726021,1.3691648136137264,1.418231309586871,1.0358531811686944,1.000015807110588
stationary,1.5,1.2724014927080503,1.2939831169103517,1.2749399944588757,0.9833215565796314,0.9980089245283242
stationary,2.0,1.2013759664418857,1.1810679626144103,1.2015768253024597,1.0171946107000664,0.9998328372715383
stationary,3.0,1.1188057580174924,1.1158140328773478,1.1188127972084279,1.0026812040823951,0.9999937083389169
nonstationary,0.8,1.9122779549028284,1.7195940460528616,1.917156836479453,1.112051974878752,0.9974551473912882
nonstationary,1.0,1.7475667232490242,1.5826797693818848,1.7460262307255694,1.1041821327706336,1.0008822848685468
nonstationary,1.2,1.4623246384724373,1.3425014933063815,1.4704693788707237,1.0892536401363317,0.9944611288644846
nonstationary,1.5,1.3934296508563364,1.2830970316409687,1.3967953687400272,1.0859893028310275,0.9975904001695489
nonstationary,2.0,1.2498191514289916,1.1963029558522162,1.2488179217363504,1.0447346512979663,1.0008017419314812
nonstationary,3.0,1.2414700601477817,1.1211215780853714,1.2407067320425635,1.1073465040856132,1.0006152365305228
