trace,n,ADF_pvalue,is_stationary,ACF_mean_|lag1-5|,KL_window_div,Bimodality_coef,exploitable
v3_J1_jitter,64,7.679563011308017e-19,True,0.2859939833309989,7.5587170820219,0.5348167946917587,True
v3_J2_jitter,64,9.401132332030481e-14,True,0.2123882433481238,10.873516660218,0.5060280481316659,True
v3_L_loss,64,8.515950952691644e-11,True,0.2675330094385508,2.3474644051521216,0.8701715525308088,True
phase_A_leader,96,1.031708486234995e-102,True,0.7629325184342578,8.709425502568768,0.469585025971309,True
phase_B_leader,96,1.1001285115197622e-05,True,0.521302108391352,11.435030102850945,0.5429339483024848,True
phase_W_leader,96,1.1346771636586362e-21,True,0.2882178458867962,8.236849176591164,0.40143148477091967,True
v4_J1,64,2.169875026846464e-10,True,0.21237374628692024,7.223449356512336,0.5717473190718285,True
v4_J2,64,1.5970868811676492e-10,True,0.2162659892464466,6.8248328908100495,0.5509527786961985,True
v4_R,64,1.2606419248176646e-14,True,0.08317357158168424,1.3182946132210343,0.895227006511343,True
v4_D,80,2.058752552312388e-11,True,0.2518138740254847,2.358592695844686,0.7022659353975879,True
