seed,alpha_stake_weight,mean_cost,mean_gini
0,0.0,0.09156517688529989,0.7428275911601342
0,0.2,0.0871286025213524,0.7132249083636146
0,0.5,0.10049378839115326,0.5590201248363905
0,0.8,0.3239716838838985,0.3594100192216737
0,1.0,0.3204337548180487,0.3585658034940249
1,0.0,0.09187712762677143,0.6997068747088004
1,0.2,0.09214224757389407,0.7186175758626419
1,0.5,0.09591068837750262,0.6713000593474959
1,0.8,0.22774128162734494,0.572771633248166
1,1.0,0.32444894839515737,0.553247419703332
2,0.0,0.09171887255716252,0.6965432276053778
2,0.2,0.09410462900699498,0.7237869826100573
2,0.5,0.09185979638073467,0.7328446973193448
2,0.8,0.2442637351496574,0.5901739213368216
2,1.0,0.33148936162246284,0.5722701685467194
3,0.0,0.09165553906398341,0.7704749753081556
3,0.2,0.08867713293004231,0.85038103469966
3,0.5,0.09379439713631242,0.8399551310319383
3,0.8,0.2787705385228916,0.6946670495533158
3,1.0,0.3458590835247093,0.6853937757227886
4,0.0,0.09066134823232602,0.7460248812250396
4,0.2,0.09095839132507277,0.9090059862125981
4,0.5,0.09435364374406519,0.8959749492241059
4,0.8,0.11603506085515593,0.8372782861572068
4,1.0,0.3308827130304278,0.8043734036560509
5,0.0,0.08889222329096108,0.8055717718788156
5,0.2,0.08835615459422706,0.8193817791922299
5,0.5,0.0988320424010182,0.6636275092398145
5,0.8,0.13929183126305134,0.6436502279967958
5,1.0,0.3369499976688069,0.6171676317450506
6,0.0,0.09244314725008004,0.6771316278694639
6,0.2,0.09310712438527222,0.7722629190076833
6,0.5,0.09332674107865536,0.8172855786848847
6,0.8,0.13547920896922647,0.7431923208844073
6,1.0,0.3415080352564024,0.7108249519095403
7,0.0,0.09137165005222726,0.7633962203784924
7,0.2,0.09329668152569956,0.7752715166856508
7,0.5,0.1020133072672117,0.6855858389150625
7,0.8,0.26610932980599705,0.548786193919457
7,1.0,0.32488296550735707,0.5424858748438427
