shift_mean,variant,cost_mean,cost_CI_lo,cost_CI_hi,vs_ISRaft_ratio,wilcoxon_p,cohen_d,sig_holm
10,Original Raft,0.9993849746844101,0.8998329282837227,1.1039514721928627,1.4453384906623712,2.157017914733661e-08,0.15666994326140168,True
10,S-Raft,0.6907280473798142,0.6199553727790245,0.7670636380143957,0.9989502131281952,0.31731050786291415,-0.031622776601683805,False
10,SCRaft,0.5992462346277969,0.5408051870691591,0.6616396004209432,0.8666466579263452,0.0006315409723828092,-0.08802749820606828,True
10,etcd-Raft,0.8969525161335503,0.7957563975510776,1.0131082953471693,1.297197805353902,1.521197251995315e-05,0.10897404022148631,True
10,IS-Raft-MC (Perfect),0.32227218050256545,0.3021773668097118,0.34306476246454926,0.46607903735708955,5.617623994967074e-34,-0.31021410704629815,True
10,IS-Raft-MC (Mock),0.6914539266344529,0.620698701814385,0.7678834123588576,1.0,,,False
25,Original Raft,0.9053875887944824,0.8146491887501737,1.0037028234523777,1.3494652240467444,3.643705318878284e-11,0.11876637616821335,True
25,S-Raft,0.6711381373571855,0.5841642282142232,0.7617014877780317,1.0003202916674976,0.31731050786291415,0.03162277660168379,False
25,SCRaft,0.615064454420989,0.5260626002302541,0.7143051533998187,0.9167433948300072,3.925669547827584e-05,-0.04777725197542752,True
25,etcd-Raft,0.6497276641943348,0.5969793573631583,0.7026473491022994,0.9684083355933883,0.00039666502398392215,-0.013309187745070786,True
25,IS-Raft-MC (Perfect),0.32177509940537796,0.3021391615361599,0.34299200726889506,0.4796004628138415,7.017100527413617e-26,-0.24827163601782656,True
25,IS-Raft-MC (Mock),0.670923246231887,0.5841642282142232,0.7616961154998992,1.0,,,False
