M,mean_time_ms,M_log_M
10,0.016959999999999198,23.02585092994046
50,0.0408000000000186,195.6011502714073
100,0.02340000000000675,460.51701859880916
250,0.04977999999999927,1380.3652294655615
500,0.07146000000000097,3107.304049211096
1000,0.13928000000000829,6907.755278982137
