workload_size,n_iters,mean_us,median_us,max_us,min_us,std_us,wcet_tightness,wcet_p99_tightness
100,100,8.441,8.4,12.3,8.2,0.39473915437919255,1.4571733206966,1.0349484658215873
1000,100,83.523,80.4,138.6,78.5,8.86235696640572,1.6594231529039905,1.3856183326748337
10000,100,1273.263,1245.7,1817.7,1191.0,90.4430557367452,1.427591942905747,1.2113608893056669
