trial,utilization,lac_sched_decision,mc_schedulable_prob
0,0.6777212654910907,NO,0.0
1,0.5838662185251926,NO,0.0
2,0.39620910068698734,NO,0.0
3,0.2642368753577183,NO,0.62
4,0.9072920791792758,NO,0.0
5,0.8037521928090352,NO,0.0
6,0.6036232636039573,NO,0.0
7,0.6688215999535003,NO,0.0
8,0.44522920745417055,NO,0.0
9,0.8526869029775634,NO,0.0
10,0.9170012822217315,NO,0.0
11,0.2964276520768997,NO,0.16
12,0.38811834358133457,NO,0.4
13,0.8485981902624398,NO,0.0
14,0.8232374891668337,NO,0.0
15,0.7195575259738642,NO,0.0
16,0.6251876291595238,NO,0.0
17,0.8338060945984263,NO,0.0
18,0.4994793269131796,NO,0.0
19,0.5152840967969456,NO,0.0
20,0.4100569719726195,NO,0.0
21,0.7858381916131032,NO,0.0
22,0.4747601865740571,NO,0.0
23,0.7204498104930233,NO,0.0
24,0.44770162750198655,NO,0.11
25,0.3205409249240059,NO,0.0
26,0.5686991882036784,NO,0.0
27,0.723302162357589,NO,0.0
28,0.8388754519866184,NO,0.0
29,0.2375352277655517,NO,0.99
30,0.3768491036093996,NO,0.7
31,0.8773788581861452,NO,0.0
32,0.32018212278107605,NO,0.01
33,0.5327316777220004,NO,0.0
34,0.20302118261978266,NO,0.99
35,0.4534621691627934,NO,0.0
36,0.3354748184181271,NO,0.0
37,0.7281147737101772,NO,0.0
38,0.5643207836284007,NO,0.0
39,0.5762839678635561,NO,0.0
40,0.7474238714485382,NO,0.0
41,0.9156133272215035,NO,0.0
42,0.7804670364169726,NO,0.0
43,0.689224447025683,NO,0.0
44,0.2919241322554037,NO,0.07
45,0.6298479927106293,NO,0.0
46,0.8792032075177341,NO,0.0
47,0.7563514959819204,NO,0.0
48,0.49077490421419595,NO,0.0
49,0.47214064420710217,NO,0.0
