target_tps,seed,achieved_tps,mean_latency_ms,p99_latency_ms
10,0,10.227649024588633,204.97561072542362,964.356637764765
10,1,10.166360823125006,177.7108551907862,723.4184705784396
10,2,9.714712893793553,195.97759226537124,825.8713839569209
10,3,9.769425531137621,187.80818447570812,766.1694604557642
10,4,9.701884279239273,167.36409358109717,936.7149172578737
50,0,50.76027041551272,37.801331252912654,138.89630137667393
50,1,50.697309163106944,34.92246571877385,139.86831116943833
50,2,53.593350416016676,38.31573743500976,162.53565986007376
50,3,51.27503958914978,39.701549204505845,169.11971285631972
50,4,49.27717738248863,41.01356342963156,154.23336673936288
100,0,97.59692168209784,18.00449898721377,83.31577842849393
100,1,96.5298516851552,17.862510891523023,78.87243982395047
100,2,95.89285144736002,18.23983233922446,61.40013911577142
100,3,96.82035686897055,19.101997510981274,68.76217194353175
100,4,100.26004825648101,19.309481476679718,90.61637955780745
200,0,192.86688595033095,8.27839102206704,36.574380692402805
200,1,205.98918738955248,11.761771092067764,50.605933860851444
200,2,210.03935894819105,9.472562398994338,37.02886811789511
200,3,201.8128100801382,10.290736075390889,48.263906974714665
200,4,199.88735799353836,8.864724647783788,33.73689724502755
500,0,472.07871790189125,3.2615457976157387,14.514673373565616
500,1,503.0968820622325,4.346046417330438,22.36116753107652
500,2,467.72476625233054,4.0349178239028225,18.22755905525564
500,3,482.40306232780387,3.2323757676647906,13.804044948373967
500,4,501.7402656130693,3.910353792828653,17.66410244270345
1000,0,1041.2721845800422,1.9211563565096106,7.68308434221671
1000,1,954.3846825938696,1.7613098552741884,6.565330626730957
1000,2,1024.2260950317605,1.764433278567668,7.203130978239737
1000,3,993.383342645018,1.94341342029833,9.184952782271218
1000,4,991.735438899117,1.810328451202327,9.387843252454655
2000,0,2008.4490646708787,0.8157866030166401,2.9423725791020603
2000,1,1893.5562593943619,0.906558353438407,4.060342689087744
2000,2,1949.4576385907046,0.8980846559868629,4.706390079168274
2000,3,1987.9092090459606,0.8108967447653981,4.393397286807227
2000,4,2103.860520194806,1.31113744027224,4.689677120950786
