f_byzantine,async_factor,seed,mean_cost,p99_cost
0,1.0,0,0.09146624947794108,0.38847800785687975
0,1.0,1,0.088906808529529,0.4312158936855943
0,1.0,2,0.08898707240455686,0.3799556851934341
0,1.0,3,0.09195177862350122,0.4553761293896891
0,1.0,4,0.08782452694291991,0.4120619152596906
0,2.0,0,0.12283038368858017,0.6600485420470734
0,2.0,1,0.11841036695533148,0.7107034883391934
0,2.0,2,0.11822638288227257,0.6364696085656146
0,2.0,3,0.12394653154127529,0.6892465092535914
0,2.0,4,0.11713714289912663,0.6253280896696786
0,5.0,0,0.21692278632049733,1.537289897295355
0,5.0,1,0.20692104223273897,1.7767587208479834
0,5.0,2,0.2059443143154196,1.5175529243963246
0,5.0,3,0.21993079029459742,1.7231162731339784
0,5.0,4,0.20507499076774685,1.5515645409631122
1,1.0,0,0.09823428866333851,0.4276467341937616
1,1.0,1,0.09792540315585198,0.45236249119974825
1,1.0,2,0.0964902421861776,0.41673984314127205
1,1.0,3,0.09936511315608626,0.4560839194025775
1,1.0,4,0.10352509051440784,0.47489342873498663
1,2.0,0,0.1312793696713767,0.7090255523312696
1,2.0,1,0.12885705427747923,0.6424472427408228
1,2.0,2,0.13059246218979756,0.7061619984127707
1,2.0,3,0.13265782714180166,0.6768038107049182
1,2.0,4,0.1386538422394507,0.792033907715999
1,5.0,0,0.22611353384515792,1.7329161192266127
1,5.0,1,0.21791010571575975,1.5273951846548146
1,5.0,2,0.2281897472250749,1.7108167441712039
1,5.0,3,0.2258297281403997,1.5522595573009725
1,5.0,4,0.23643029932613563,1.808456496498094
2,1.0,0,0.10729196259854916,0.4628655627119763
2,1.0,1,0.11216212631586588,0.46614828025440924
2,1.0,2,0.11050877424546879,0.4868188882268326
2,1.0,3,0.11371547243859974,0.5597104080097682
2,1.0,4,0.11289405883301858,0.5464834732471389
2,2.0,0,0.1401085354430603,0.6836244181691402
2,2.0,1,0.1486475822286046,0.7622158572768343
2,2.0,2,0.14756196872346602,0.7612967465625833
2,2.0,3,0.151113507585819,0.8153933013013124
2,2.0,4,0.14969889331969383,0.7832038023754666
2,5.0,0,0.22905212962468474,1.431241730753384
2,5.0,1,0.24485104621652748,1.5798886812702755
2,5.0,2,0.24305655180618244,1.626072935590309
2,5.0,3,0.24568164290862615,1.7825818370204305
2,5.0,4,0.24183944736359203,1.5686094067839782
3,1.0,0,0.1287144573463576,0.586690942721638
3,1.0,1,0.12670739232682998,0.5843058120831319
3,1.0,2,0.12516578900867908,0.6117150584095161
3,1.0,3,0.12417840887846072,0.5438505338506274
3,1.0,4,0.12473877428735412,0.5826714113045528
3,2.0,0,0.16917525582788698,0.8056552190523942
3,2.0,1,0.16964456242709536,0.9231621717854568
3,2.0,2,0.16621105290480176,0.8699171399020275
3,2.0,3,0.1637858481680338,0.7901243479224677
3,2.0,4,0.16552759636997175,0.8912367265208387
3,5.0,0,0.26788789831623705,1.677604547495805
3,5.0,1,0.2690125664064705,1.7723596368570282
3,5.0,2,0.2652827119619397,1.664968029547948
3,5.0,3,0.2541413220311172,1.5582471855854532
3,5.0,4,0.26269905501693097,1.8501754606160081
